ds,id_pais,pred_neutro,pred_kpi2,pred_kpi3,pred_kpi4
2011-01-01,BRB,75.91660000000002,75.91660000000002,75.91660000000002,75.91660000000002
2012-01-01,BRB,76.09869999999997,76.09869999999997,76.09869999999997,76.09869999999997
2013-01-01,BRB,76.27520000000005,76.27520000000005,76.27520000000005,76.27520000000005
2014-01-01,BRB,76.47580000000005,76.47580000000005,76.47580000000005,76.47580000000005
2015-01-01,BRB,76.65020000000007,76.65020000000007,76.65020000000007,76.65020000000007
2016-01-01,BRB,76.81490000000007,76.81490000000007,76.81490000000007,76.81490000000007
2017-01-01,BRB,76.93600000000005,76.93600000000005,76.93600000000005,76.93600000000005
2018-01-01,BRB,77.067,77.067,77.067,77.067
2019-01-01,BRB,77.25690000000003,77.25690000000003,77.25690000000003,77.25690000000003
2019-12-31,BRB,77.28625667779542,77.17133816003343,77.08426770971639,1468.614452001103
2020-12-31,BRB,77.48724980125996,77.38148570260809,77.29441525229105,1468.814393788446
2021-12-31,BRB,77.67583771109094,77.57297072221989,77.48590027190285,1469.0023013101775
2022-12-31,BRB,77.81477850878194,77.72509693166141,77.63802648134437,1469.1396051080862
2023-12-31,BRB,77.97170895155516,77.87467044831217,77.78759999799513,1469.2950198964604
2024-12-31,BRB,78.11907533891824,78.02943969573988,77.94236924542284,1469.4411954977088
2025-12-31,BRB,78.26023310146849,78.19617134469081,78.10910089437377,1469.5805565080898
2000-01-01,BLZ,68.56449999999998,68.56449999999998,68.56449999999998,68.56449999999998
2001-01-01,BLZ,68.3572,68.3572,68.3572,68.3572
2002-01-01,BLZ,68.7521,68.7521,68.7521,68.7521
2003-01-01,BLZ,68.90909999999998,68.90909999999998,68.90909999999998,68.90909999999998
2004-01-01,BLZ,69.227,69.227,69.227,69.227
2005-01-01,BLZ,69.37569999999998,69.37569999999998,69.37569999999998,69.37569999999998
2006-01-01,BLZ,70.0932,70.0932,70.0932,70.0932
2007-01-01,BLZ,70.6549,70.6549,70.6549,70.6549
2008-01-01,BLZ,71.15070000000001,71.15070000000001,71.15070000000001,71.15070000000001
2009-01-01,BLZ,71.8186,71.8186,71.8186,71.8186
2010-01-01,BLZ,72.2716,72.2716,72.2716,72.2716
2011-01-01,BLZ,72.6512,72.6512,72.6512,72.6512
2012-01-01,BLZ,73.24500000000002,73.24500000000002,73.24500000000002,73.24500000000002
2013-01-01,BLZ,73.66610000000003,73.66610000000003,73.66610000000003,73.66610000000003
2014-01-01,BLZ,73.31070000000001,73.31070000000001,73.31070000000001,73.31070000000001
2015-01-01,BLZ,73.1866,73.1866,73.1866,73.1866
2016-01-01,BLZ,73.3988,73.3988,73.3988,73.3988
2017-01-01,BLZ,73.56240000000001,73.56240000000001,73.56240000000001,73.56240000000001
2018-01-01,BLZ,73.70310000000003,73.70310000000003,73.70310000000003,73.70310000000003
2019-01-01,BLZ,73.9313,73.9313,73.9313,73.9313
2019-12-31,BLZ,74.23993595187494,74.64576677774775,74.5971792791462,90.276214661223
2020-12-31,BLZ,74.45251957170626,74.8371947015659,74.78860720296436,90.4837322421011
2021-12-31,BLZ,74.65286639710064,75.00705419972064,74.9584667011191,90.68240044075205
2022-12-31,BLZ,74.83750765791022,75.1760392355167,75.12745173691515,90.86323337549838
