id_pais,year,agotamiento_recursos
PER,2013,4.57006041683305
PER,2012,6.29635894313417
PER,2011,7.63102326103811
PER,2010,6.72677550705116
PER,2009,5.82138304783923
PER,2008,8.09575654367813
PER,2007,9.57751921118629
PER,2006,9.88281498603553
PER,2005,5.53781059478546
PER,2004,4.70414672894682
PER,2003,2.27445505205709
PER,2002,1.63064454105047
PER,2001,1.43895604751516
PER,2000,2.46537881721658
PRY,2020,1.68453950859009
PRY,2019,1.3571406860735
PRY,2018,1.48879918133592
PRY,2017,1.69548246540568
PRY,2016,1.89230556523737
PRY,2015,1.65923017613753
PRY,2014,1.56320165904726
PRY,2013,1.50061218742655
PRY,2012,1.53868374205741
PRY,2011,1.47915333964877
PRY,2010,2.03879674026396
PRY,2009,1.5922328321608
PRY,2008,1.4441416671587
PRY,2007,1.74450033765459
