id_pais,year,emisiones_co2
PER,2016,1.83858030205849
PER,2015,1.79024208231578
PER,2014,1.76701033037894
PER,2013,1.67092172341318
PER,2012,1.63081104152247
PER,2011,1.65491664370386
PER,2010,1.55024445632582
PER,2009,1.42987809668544
PER,2008,1.34057736118599
PER,2007,1.19330609917714
PER,2006,1.09742864543493
PER,2005,1.12286814447668
PER,2004,1.13089140564945
PER,2003,0.99224698706035
PER,2002,1.02321081797077
PER,2001,0.990324780631307
PER,2000,1.08201287198491
PRY,2020,
PRY,2019,1.16542523160477
PRY,2018,1.21764178403475
PRY,2017,1.17371957825559
PRY,2016,1.05932857279795
PRY,2015,0.952345908419767
PRY,2014,0.853091846387849
PRY,2013,0.814097994160131
PRY,2012,0.806663826473621
PRY,2011,0.824126215438861
PRY,2010,0.806655929689857
