id_pais,year,poblacion
GRD,2016,110263.0
GRD,2015,109603.0
GRD,2014,108900.0
GRD,2013,108172.0
GRD,2012,107452.0
GRD,2011,106786.0
GRD,2010,106227.0
GRD,2009,105787.0
GRD,2008,105457.0
GRD,2007,105183.0
GRD,2006,104938.0
GRD,2005,104658.0
GRD,2004,104346.0
GRD,2003,104003.0
GRD,2002,103636.0
GRD,2001,103242.0
GRD,2000,102837.0
SLV,2020,6486201.0
SLV,2019,6453550.0
SLV,2018,6420740.0
SLV,2017,6388124.0
SLV,2016,6356137.0
SLV,2015,6325121.0
SLV,2014,6295124.0
SLV,2013,6266076.0
SLV,2012,6237922.0
SLV,2011,6210567.0
SLV,2010,6183877.0
SLV,2009,6157678.0
SLV,2008,6131767.0
SLV,2007,6105810.0
SLV,2006,6079395.0
SLV,2005,6052124.0
SLV,2004,6023801.0
SLV,2003,5994075.0
SLV,2002,5962139.0
SLV,2001,5927001.0
SLV,2000,5887930.0
ECU,2020,17643060.0
ECU,2019,17373657.0
ECU,2018,17084359.0
ECU,2017,16785356.0
ECU,2016,16491116.0
ECU,2015,16212022.0
ECU,2014,15951832.0
ECU,2013,15707473.0
ECU,2012,15474099.0
ECU,2011,15243885.0
ECU,2010,15011114.0
ECU,2009,14774412.0
ECU,2008,14535740.0
ECU,2007,14296554.0
ECU,2006,14059379.0
ECU,2005,13825839.0
ECU,2004,13596390.0
ECU,2003,13369678.0
ECU,2002,13143465.0
ECU,2001,12914660.0
ECU,2000,12681123.0
DOM,2020,10847904.0
DOM,2019,10738957.0
DOM,2018,10627147.0
DOM,2017,10513111.0
DOM,2016,10397738.0
DOM,2015,10281675.0
DOM,2014,10165182.0
DOM,2013,10048226.0
DOM,2012,9930916.0
DOM,2011,9813219.0
DOM,2010,9695117.0
DOM,2009,9576736.0
DOM,2008,9458079.0
DOM,2007,9338856.0
DOM,2006,9218681.0
DOM,2005,9097262.0
DOM,2004,8974444.0
DOM,2003,8850317.0
DOM,2002,8724974.0
DOM,2001,8598599.0
DOM,2000,8471317.0
DMA,2020,71991.0
DMA,2019,71808.0
DMA,2018,71626.0
DMA,2017,71460.0
DMA,2016,71307.0
DMA,2015,71175.0
DMA,2014,71091.0
DMA,2013,71019.0
DMA,2012,70954.0
DMA,2011,70912.0
DMA,2010,70877.0
DMA,2009,70848.0
DMA,2008,70829.0
DMA,2007,70797.0
DMA,2006,70718.0
DMA,2005,70580.0
DMA,2004,70387.0
DMA,2003,70102.0
DMA,2002,69840.0
DMA,2001,69671.0
DMA,2000,69650.0
CUB,2020,11326616.0
CUB,2019,11333484.0
CUB,2018,11338146.0
CUB,2017,11339255.0
CUB,2016,11335108.0
CUB,2015,11324777.0
CUB,2014,11306909.0
CUB,2013,11282722.0
CUB,2012,11257112.0
CUB,2011,11236671.0
CUB,2010,11225833.0
CUB,2009,11226711.0
CUB,2008,11236975.0
CUB,2007,11251117.0
CUB,2006,11261241.0
CUB,2005,11261586.0
CUB,2004,11250369.0
CUB,2003,11229185.0
CUB,2002,11199664.0
CUB,2001,11164676.0
CUB,2000,11126423.0
CRI,2020,5094114.0
CRI,2019,5047561.0
CRI,2018,4999443.0
CRI,2017,4949955.0
CRI,2016,4899336.0
CRI,2015,4847805.0
CRI,2014,4795390.0
CRI,2013,4742111.0
CRI,2012,4688003.0
CRI,2011,4633086.0
CRI,2010,4577371.0
CRI,2009,4520739.0
CRI,2008,4463123.0
CRI,2007,4404626.0
CRI,2006,4345421.0
CRI,2005,4285504.0
CRI,2004,4225156.0
CRI,2003,4164053.0
CRI,2002,4100922.0
CRI,2001,4034074.0
CRI,2000,3962369.0
COL,2020,50882884.0
COL,2019,50339443.0
COL,2018,49661056.0
COL,2017,48909844.0
COL,2016,48175048.0
COL,2015,47520667.0
COL,2014,46967706.0
COL,2013,46495492.0
COL,2012,46075721.0
COL,2011,45662747.0
COL,2010,45222699.0
COL,2009,44750054.0
COL,2008,44254972.0
COL,2007,43737512.0
COL,2006,43200901.0
COL,2005,42647731.0
