id_pais,year, fuerza_laboral
ECU,2012,6743271.0
ECU,2011,6533045.0
ECU,2010,6488680.0
ECU,2009,6481412.0
ECU,2008,6589827.0
ECU,2007,6464362.0
ECU,2006,6429939.0
ECU,2005,6192115.0
ECU,2004,6098242.0
ECU,2003,5771714.0
ECU,2002,5658731.0
ECU,2001,5547949.0
ECU,2000,5439835.0
DOM,2020,4750336.0
DOM,2019,5060916.0
DOM,2018,4880941.0
DOM,2017,4704626.0
DOM,2016,4640591.0
DOM,2015,4537662.0
DOM,2014,4287762.0
DOM,2013,4200334.0
DOM,2012,4141884.0
DOM,2011,3983751.0
DOM,2010,3815112.0
DOM,2009,3661622.0
DOM,2008,3728146.0
DOM,2007,3630832.0
DOM,2006,3564951.0
DOM,2005,3453340.0
DOM,2004,3399243.0
DOM,2003,3319780.0
DOM,2002,3308494.0
DOM,2001,3225600.0
DOM,2000,3226118.0
DMA,2020,
DMA,2019,
DMA,2018,
DMA,2017,
DMA,2016,
DMA,2015,
DMA,2014,
DMA,2013,
DMA,2012,
DMA,2011,
DMA,2010,
DMA,2009,
DMA,2008,
DMA,2007,
DMA,2006,
DMA,2005,
DMA,2004,
DMA,2003,
DMA,2002,
DMA,2001,
DMA,2000,
CUB,2020,5099652.0
CUB,2019,5345330.0
CUB,2018,5334777.0
CUB,2017,5314631.0
CUB,2016,5295539.0
CUB,2015,5282677.0
CUB,2014,5246243.0
CUB,2013,5219536.0
CUB,2012,5185962.0
CUB,2011,5152741.0
CUB,2010,5078837.0
CUB,2009,5118805.0
CUB,2008,4992279.0
CUB,2007,4969380.0
CUB,2006,4929715.0
CUB,2005,4864091.0
CUB,2004,4795837.0
CUB,2003,4734276.0
CUB,2002,4673864.0
CUB,2001,4626660.0
CUB,2000,4585373.0
CRI,2020,2368243.0
CRI,2019,2482184.0
CRI,2018,2369041.0
CRI,2017,2259645.0
CRI,2016,2212664.0
CRI,2015,2295745.0
CRI,2014,2308993.0
CRI,2013,2261015.0
CRI,2012,2245872.0
CRI,2011,2077942.0
CRI,2010,2051461.0
CRI,2009,2088453.0
CRI,2008,2067066.0
CRI,2007,2037762.0
CRI,2006,1965286.0
CRI,2005,1930209.0
CRI,2004,1814560.0
CRI,2003,1804626.0
CRI,2002,1747203.0
CRI,2001,1711510.0
CRI,2000,1605783.0
COL,2020,24826218.0
COL,2019,26284990.0
COL,2018,26125205.0
COL,2017,25756727.0
COL,2016,25273396.0
COL,2015,24918312.0
COL,2014,24346029.0
COL,2013,23895273.0
COL,2012,23642905.0
COL,2011,22936897.0
COL,2010,22287035.0
COL,2009,21482206.0
COL,2008,20142417.0
COL,2007,19577933.0
COL,2006,19720231.0
COL,2005,19416752.0
COL,2004,19187151.0
COL,2003,19221667.0
COL,2002,18594245.0
COL,2001,18485766.0
COL,2000,18071395.0
CHL,2020,8537487.0
CHL,2019,9090403.0
CHL,2018,8993608.0
CHL,2017,8846878.0
CHL,2016,8652497.0
CHL,2015,8542744.0
CHL,2014,8432818.0
CHL,2013,8281662.0
CHL,2012,8164043.0
CHL,2011,8086638.0
CHL,2010,7797414.0
CHL,2009,7632661.0
CHL,2008,7529103.0
CHL,2007,7245422.0
CHL,2006,7058723.0
CHL,2005,6795422.0
CHL,2004,6633642.0
CHL,2003,6473698.0
CHL,2002,6301163.0
CHL,2001,6247071.0
CHL,2000,6233433.0
CAN,2020,20509919.0
CAN,2019,20792599.0
CAN,2018,20396646.0
CAN,2017,20218237.0
CAN,2016,19955331.0
CAN,2015,19747709.0
CAN,2014,19629145.0
CAN,2013,19546552.0
CAN,2012,19322866.0
CAN,2011,19147395.0
CAN,2010,19001081.0
CAN,2009,18799155.0
CAN,2008,18667574.0
CAN,2007,18379605.0
CAN,2006,18030705.0
CAN,2005,17821886.0
CAN,2004,17680867.0
CAN,2003,17472797.0
CAN,2002,17078583.0
CAN,2001,16594438.0
CAN,2000,16311911.0
BRA,2020,96539743.0
BRA,2019,104376954.0
BRA,2018,102576163.0
BRA,2017,101501800.0
BRA,2016,99749646.0
BRA,2015,98729764.0
BRA,2014,97184947.0
BRA,2013,96095664.0
BRA,2012,94871140.0
BRA,2011,93794015.0
BRA,2010,94040209.0
BRA,2009,94205652.0
BRA,2008,92409809.0
BRA,2007,91126146.0
BRA,2006,89980224.0
BRA,2005,88870707.0
BRA,2004,86393585.0
BRA,2003,83821485.0
BRA,2002,82226244.0
BRA,2001,79670542.0
BRA,2000,77377185.0
BOL,2020,5251670.0
BOL,2019,5645342.0
BOL,2018,5618578.0
BOL,2017,5259275.0
BOL,2016,5054335.0
BOL,2015,4928636.0
BOL,2014,5131268.0
BOL,2013,4875374.0
BOL,2012,4723397.0
BOL,2011,4846370.0
BOL,2010,4742968.0
BOL,2009,4641844.0
BOL,2008,4518001.0
BOL,2007,4420346.0
BOL,2006,4371661.0
BOL,2005,4252111.0
BOL,2004,4132754.0
BOL,2003,4016609.0
BOL,2002,3903550.0
BOL,2001,3793707.0
BOL,2000,3687215.0
BLZ,2020,170828.0
BLZ,2019,175539.0
BLZ,2018,171026.0
BLZ,2017,166252.0
BLZ,2016,162081.0
BLZ,2015,156522.0
BLZ,2014,150728.0
BLZ,2013,143961.0
BLZ,2012,138797.0
BLZ,2011,133680.0
BLZ,2010,128573.0
BLZ,2009,123687.0
BLZ,2008,118892.0
BLZ,2007,114214.0
BLZ,2006,109682.0
BLZ,2005,105320.0
BLZ,2004,101476.0
BLZ,2003,97837.0
BLZ,2002,94349.0
BLZ,2001,90856.0
BLZ,2000,87259.0
BRB,2020,141940.0
BRB,2019,148325.0
BRB,2018,150615.0
BRB,2017,151745.0
BRB,2016,153451.0
BRB,2015,149130.0
BRB,2014,148096.0
BRB,2013,153789.0
BRB,2012,151737.0
BRB,2011,154038.0
BRB,2010,150802.0
BRB,2009,150815.0
BRB,2008,151391.0
BRB,2007,150785.0
BRB,2006,149927.0
BRB,2005,152684.0
BRB,2004,151979.0
BRB,2003,150135.0
BRB,2002,147600.0
BRB,2001,148868.0
BRB,2000,145844.0
ARG,2020,19208592.0
ARG,2019,20429749.0
ARG,2018,19952439.0
ARG,2017,19446034.0
ARG,2016,19274835.0
ARG,2015,19106351.0
ARG,2014,18928695.0
ARG,2013,18849614.0
ARG,2012,18728448.0
ARG,2011,18563047.0
ARG,2010,18158593.0
ARG,2009,18144303.0
ARG,2008,17796615.0
ARG,2007,17752637.0
ARG,2006,17709282.0
ARG,2005,17396830.0
ARG,2004,17277472.0
ARG,2003,16799186.0
ARG,2002,16336016.0
ARG,2001,16504173.0
ARG,2000,16436817.0
ATG,2020,
ATG,2019,
ATG,2018,
ATG,2017,
ATG,2016,
ATG,2015,
ATG,2014,
ATG,2013,
ATG,2012,
ATG,2011,
ATG,2010,
ATG,2009,
ATG,2008,
ATG,2007,
ATG,2006,
ATG,2005,
ATG,2004,
ATG,2003,
ATG,2002,
ATG,2001,
ATG,2000,
