id_pais,year,desarrollo
GTM,2009,0.0562000013887882
GTM,2008,0.0628999993205071
GTM,2007,0.0678199976682663
GTM,2006,0.0500999987125397
GTM,2005,0.0355600006878376
GTM,2004,
GTM,2003,
GTM,2002,
GTM,2001,
GTM,2000,
GRD,2020,
GRD,2019,
GRD,2018,
GRD,2017,
GRD,2016,
GRD,2015,
GRD,2014,
GRD,2013,
GRD,2012,
GRD,2011,
GRD,2010,
GRD,2009,
GRD,2008,
GRD,2007,
GRD,2006,
GRD,2005,
GRD,2004,
GRD,2003,
GRD,2002,
GRD,2001,
GRD,2000,
SLV,2020,
SLV,2019,0.174669995903969
SLV,2018,0.165309995412827
SLV,2017,0.180779993534088
SLV,2016,0.144930005073547
SLV,2015,0.143480002880096
SLV,2014,0.0937699973583221
SLV,2013,0.0638699978590012
SLV,2012,0.0339699983596802
SLV,2011,0.0355000011622906
SLV,2010,0.0780600011348724
SLV,2009,0.0908999964594841
SLV,2008,0.133990004658699
SLV,2007,0.105599999427795
SLV,2006,
SLV,2005,
SLV,2004,
SLV,2003,
SLV,2002,
SLV,2001,
SLV,2000,
ECU,2020,
ECU,2019,
ECU,2018,
ECU,2017,
ECU,2016,
ECU,2015,
ECU,2014,0.442660003900528
ECU,2013,0.379900008440018
ECU,2012,0.332359999418259
ECU,2011,0.339910000562668
ECU,2010,0.402969986200333
ECU,2009,0.394630014896393
ECU,2008,0.227789998054504
ECU,2007,0.131940007209778
ECU,2006,0.128629997372627
ECU,2005,
ECU,2004,
ECU,2003,0.0573499985039234
ECU,2002,0.0553399994969368
ECU,2001,0.0515000000596046
ECU,2000,
DOM,2020,
DOM,2019,
DOM,2018,
DOM,2017,
DOM,2016,
DOM,2015,
DOM,2014,
DOM,2013,
DOM,2012,
DOM,2011,
DOM,2010,
DOM,2009,
DOM,2008,
DOM,2007,
DOM,2006,
DOM,2005,
DOM,2004,
DOM,2003,
DOM,2002,
DOM,2001,
DOM,2000,
DMA,2020,
DMA,2019,
DMA,2018,
DMA,2017,
DMA,2016,
DMA,2015,
DMA,2014,
DMA,2013,
DMA,2012,
DMA,2011,
DMA,2010,
DMA,2009,
DMA,2008,
DMA,2007,
DMA,2006,
DMA,2005,
DMA,2004,
DMA,2003,
DMA,2002,
DMA,2001,
DMA,2000,
CUB,2020,0.518379986286163
CUB,2019,0.553080022335052
CUB,2018,0.536909997463226
CUB,2017,0.430660009384155
CUB,2016,0.34222999215126
CUB,2015,0.428539991378784
CUB,2014,0.415960013866425
CUB,2013,0.474669992923737
CUB,2012,0.407160013914108
CUB,2011,0.271919995546341
CUB,2010,0.6076700091362
CUB,2009,0.614849984645844
CUB,2008,0.500609993934631
CUB,2007,0.436150014400482
CUB,2006,0.441390007734299
CUB,2005,0.549199998378754
CUB,2004,0.602310001850128
CUB,2003,0.582430005073547
CUB,2002,0.564450025558472
CUB,2001,0.565299987792969
CUB,2000,0.478650003671646
CRI,2020,
CRI,2019,
CRI,2018,0.3714399933815
CRI,2017,0.425870001316071
CRI,2016,0.443349987268448
CRI,2015,0.436650007963181
CRI,2014,0.556270003318787
CRI,2013,0.542530000209808
CRI,2012,0.547129988670349
CRI,2011,0.462350010871887
CRI,2010,0.479900002479553
CRI,2009,0.517180025577545
CRI,2008,0.385930001735687
CRI,2007,0.356550008058548
CRI,2006,0.426930010318756
CRI,2005,
CRI,2004,0.372880011796951
CRI,2003,0.361900001764297
CRI,2002,
CRI,2001,
CRI,2000,0.411350011825562
COL,2020,0.288120001554489
COL,2019,0.321689993143082
COL,2018,0.312330007553101
COL,2017,0.261090010404587
COL,2016,0.270509988069534
COL,2015,0.365420013666153
COL,2014,0.303169995546341
COL,2013,0.257609993219376
COL,2012,0.221159994602203
COL,2011,0.198420003056526
COL,2010,0.193580001592636
COL,2009,0.193509995937347
COL,2008,0.195409998297691
COL,2007,0.183070003986359
COL,2006,0.164269998669624
COL,2005,0.165570005774498
COL,2004,0.169640004634857
COL,2003,0.173979997634888
COL,2002,0.155589997768402
COL,2001,0.13289999961853
COL,2000,0.131060004234314
CHL,2020,
CHL,2019,0.340950012207031
CHL,2018,0.366470009088516
CHL,2017,0.355930000543594
CHL,2016,0.369340002536774
CHL,2015,0.380730003118515
CHL,2014,0.375030010938644
CHL,2013,0.388700008392334
CHL,2012,0.362199991941452
CHL,2011,0.351440012454987
CHL,2010,0.329470008611679
