DATASOURCE (code);PUBLISHSTATE (code);YEAR (code);REGION (code);COUNTRY (code);ALCOHOLTYPE (code);SA_0000001400 (string);SA_0000001400 (numeric);SA_0000001400 (low);SA_0000001400 (high);SA_0000001400 (comment)
GISAHAGO;PUBLISHED;2003;AFR;AGO;SA_BEER;1.32;1.32056;0.80055;1.80708;
GISAHAGO;PUBLISHED;2003;AFR;AGO;SA_WINE;0.69;0.68801;0.4193;0.95225;
GISAHAGO;PUBLISHED;2003;AFR;AGO;SA_SPIRITS;0.18;0.18372;0.10927;0.25622;
GISAHAGO;PUBLISHED;2003;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.01046;0.00657;0.01456;
GISAHAGO;PUBLISHED;2003;AFR;AGO;SA_TOTAL;2.20;2.20275;1.60609;2.74236;
GISAHAGO;PUBLISHED;2004;AFR;AGO;SA_BEER;1.44;1.44496;0.89553;2.00366;
GISAHAGO;PUBLISHED;2004;AFR;AGO;SA_WINE;0.77;0.7736;0.46879;1.08329;
GISAHAGO;PUBLISHED;2004;AFR;AGO;SA_SPIRITS;0.18;0.18372;0.1048;0.25596;
GISAHAGO;PUBLISHED;2004;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.01046;0.00643;0.01434;
GISAHAGO;PUBLISHED;2004;AFR;AGO;SA_TOTAL;2.41;2.41274;1.77823;3.05955;
GISAHAGO;PUBLISHED;2005;AFR;AGO;SA_BEER;2.40;2.39736;1.39094;3.32645;
GISAHAGO;PUBLISHED;2005;AFR;AGO;SA_WINE;1.01;1.00842;0.60045;1.40482;
GISAHAGO;PUBLISHED;2005;AFR;AGO;SA_SPIRITS;0.07;0.07015;0.04377;0.09728;
GISAHAGO;PUBLISHED;2005;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.01048;0.00659;0.01455;
GISAHAGO;PUBLISHED;2005;AFR;AGO;SA_TOTAL;3.49;3.4864;2.40987;4.46835;
GISAHAGO;PUBLISHED;2006;AFR;AGO;SA_BEER;2.73;2.7311;1.67034;3.81996;
GISAHAGO;PUBLISHED;2006;AFR;AGO;SA_WINE;1.20;1.20392;0.75082;1.70144;
GISAHAGO;PUBLISHED;2006;AFR;AGO;SA_SPIRITS;0.07;0.07451;0.04328;0.10257;
GISAHAGO;PUBLISHED;2006;AFR;AGO;SA_OTHER_ALCOHOL;0.01;0.0109;0.00677;0.01493;
GISAHAGO;PUBLISHED;2006;AFR;AGO;SA_TOTAL;4.02;4.02043;2.90544;5.22117;
