PAIS,NOMBRE PAIS,ANIO,IND.N.VIDA,ESPERANZA
CAN,Canada,2008,6.856063561926605,80.7388
CAN,Canada,2009,7.013158147887324,81.0737
CAN,Canada,2010,7.195093783373493,81.3469
CAN,Canada,2011,7.368682645185185,81.5286
CAN,Canada,2012,7.579800699872934,81.7221
CAN,Canada,2013,7.793426727843137,81.8029
CAN,Canada,2014,8.03051025768194,81.8545
CAN,Canada,2015,8.271255935833334,81.9246
CAN,Canada,2016,8.563983610359713,82.0434
CAN,Canada,2017,8.838979262407133,82.0192
CAN,Canada,2018,9.132561194470046,82.0508
CAN,Canada,2019,9.113436917484663,82.3628
CAN,Canada,2020,9.401853947468354,82.0471
CHL,Chile,2000,3.3433325670523066,76.8695
CHL,Chile,2001,3.4075783330458482,76.7726
CHL,Chile,2002,3.52794721921175,77.4445
CHL,Chile,2003,3.712971267698183,77.3867
CHL,Chile,2004,3.7624383941368067,77.6161
CHL,Chile,2005,3.863805343806412,78.0159
CHL,Chile,2006,3.9813871671723153,78.261
CHL,Chile,2007,4.00029171921922,77.8258
CHL,Chile,2008,4.075956922631146,78.4841
CHL,Chile,2009,4.243265751775198,78.7409
CHL,Chile,2010,4.338475496979405,78.5015
CHL,Chile,2011,4.439746637876571,79.1099
CHL,Chile,2012,4.577136250739299,79.0233
CHL,Chile,2013,4.646731826266981,79.3391
CHL,Chile,2014,4.7945721820384435,79.4726
CHL,Chile,2015,4.864936615532586,79.746
CHL,Chile,2016,5.036206136937847,80.0794
CHL,Chile,2017,5.146249115989785,80.3501
CHL,Chile,2018,5.305508748253604,80.1334
CHL,Chile,2019,5.309734308318584,80.3263
CHL,Chile,2020,5.406866651527439,79.3769
COL,Colombia,2000,6.614796143290979,71.3201
COL,Colombia,2001,7.276365362610303,71.502
COL,Colombia,2002,7.514674637750385,71.9389
COL,Colombia,2003,8.057655908726836,72.3606
COL,Colombia,2004,8.40769428121776,72.6951
COL,Colombia,2005,8.857899282643734,73.0814
COL,Colombia,2006,9.06763401522749,73.468
COL,Colombia,2007,9.341230585314058,73.8372
COL,Colombia,2008,9.65560668922574,74.295
COL,Colombia,2009,9.890126122588068,74.7418
COL,Colombia,2010,10.349129491356969,75.0327
COL,Colombia,2011,10.731721825978221,75.3198
COL,Colombia,2012,11.116454225031067,75.5973
COL,Colombia,2013,11.519342530166067,75.8267
COL,Colombia,2014,11.858256255171538,76.0427
COL,Colombia,2015,12.309401780890544,76.2573
COL,Colombia,2016,12.860845046091393,76.4713
COL,Colombia,2017,13.316762937382249,76.6456
COL,Colombia,2018,13.837151222677203,76.7479
COL,Colombia,2019,14.13717974365679,76.7523
COL,Colombia,2020,14.791678512631577,74.7692
CRI,Costa Rica,2000,7.71692484312652,77.5857
CRI,Costa Rica,2001,8.211591280891023,77.5453
CRI,Costa Rica,2002,8.656959561976386,77.9833
CRI,Costa Rica,2003,9.128412585822668,78.072
CRI,Costa Rica,2004,9.482224422634054,78.3305
CRI,Costa Rica,2005,9.841188299493538,78.5053
CRI,Costa Rica,2006,10.135890844602926,78.5145
CRI,Costa Rica,2007,10.406441005249823,78.4621
CRI,Costa Rica,2008,10.68046144650243,78.4451
CRI,Costa Rica,2009,10.98470465806211,78.6721
CRI,Costa Rica,2010,11.290523137853727,78.6704
CRI,Costa Rica,2011,11.757830248526112,79.3477
CRI,Costa Rica,2012,12.41486247485449,79.2827
CRI,Costa Rica,2013,13.079166889185444,79.4034
CRI,Costa Rica,2014,13.694397612953201,78.7741
CRI,Costa Rica,2015,14.183362876164885,79.0857
CRI,Costa Rica,2016,14.721633367174741,79.4592
CRI,Costa Rica,2017,15.171708534742727,79.3769
CRI,Costa Rica,2018,15.7518262187121,79.4835
CRI,Costa Rica,2019,15.742175256721193,79.4272
CRI,Costa Rica,2020,16.320981126865,79.277
CUB,Cuba,2000,3.8447285160737303,76.1831
CUB,Cuba,2001,3.92907520975802,76.4208
CUB,Cuba,2002,4.027331359687807,76.6124
CUB,Cuba,2003,4.214639963567527,76.7729
CUB,Cuba,2004,4.363989751525809,76.9116
CUB,Cuba,2005,4.547038918622463,77.0469
CUB,Cuba,2006,4.705609682591995,77.1788
CUB,Cuba,2007,4.902174130064871,77.3072
CUB,Cuba,2008,5.115258950853558,77.4294
CUB,Cuba,2009,5.345066530940256,77.5483
CUB,Cuba,2010,5.593200085364917,77.661
CUB,Cuba,2011,5.794513494705905,77.7597
CUB,Cuba,2012,6.01629634461005,77.8328
CUB,Cuba,2013,6.23291077862627,77.8698
CUB,Cuba,2014,6.487207167328752,77.8533
CUB,Cuba,2015,6.748574125123113,77.772
CUB,Cuba,2016,7.048237204908696,77.643
CUB,Cuba,2017,7.382101601699615,77.5286
CUB,Cuba,2018,7.754608648005348,77.4962
CUB,Cuba,2019,7.782284226657989,77.6112
CUB,Cuba,2020,8.078675213854089,77.5673
DMA,Dominica,2000,5.759336084964674,72.6932
DMA,Dominica,2001,5.966571635917187,71.7132
DMA,Dominica,2002,6.395637030305648,72.3395
DMA,Dominica,2003,6.206408087595376,71.4384
DMA,Dominica,2004,6.538651040534721,72.401
DMA,Dominica,2005,6.74860677868471,72.2543
DMA,Dominica,2006,6.982698711847395,72.8479
DMA,Dominica,2007,7.11460363923345,71.9301
DMA,Dominica,2008,7.340536773453202,73.3054
DMA,Dominica,2009,7.585259226222833,72.1702
