PAIS,NOMBRE PAIS,ANIO,TRAB.INDEX,ESPERANZA
CUB,Cuba,2014,3087.97240342166,77.8533
CUB,Cuba,2015,3291.641538725222,77.772
CUB,Cuba,2016,3424.618225075579,77.643
CUB,Cuba,2017,3662.7663722175753,77.5286
CUB,Cuba,2018,3991.522262987264,77.4962
CUB,Cuba,2019,3999.6388639186325,77.6112
CUB,Cuba,2020,3783.5813724063746,77.5673
DMA,Dominica,2000,1397.5985642498206,72.6932
DMA,Dominica,2001,1458.9685809016664,71.7132
DMA,Dominica,2002,1376.3168671248568,72.3395
DMA,Dominica,2003,1488.8784913411885,71.4384
DMA,Dominica,2004,1614.5325131061134,72.401
DMA,Dominica,2005,1756.9105979030887,72.2543
DMA,Dominica,2006,2050.1134081846208,72.8479
DMA,Dominica,2007,2272.6929107165556,71.9301
DMA,Dominica,2008,2608.7190275169773,73.3054
DMA,Dominica,2009,2615.896002710027,72.1702
DMA,Dominica,2010,2618.810051215486,71.5499
DMA,Dominica,2011,2661.163131768953,69.6948
DMA,Dominica,2012,2725.8470276517182,70.5383
DMA,Dominica,2013,2557.6775229164027,68.8962
DMA,Dominica,2014,2733.0739474757706,69.4342
DMA,Dominica,2015,2779.1808921671936,68.7266
DMA,Dominica,2016,2974.596042464274,70.1284
DMA,Dominica,2017,3070.674643157011,67.5253
DMA,Dominica,2018,3340.4769217881776,73.59
DMA,Dominica,2019,3700.2623663101604,73.5588
DMA,Dominica,2020,3078.815685293995,73.649
DOM,Dominican Republic,2000,954.9943320501405,69.4232
DOM,Dominican Republic,2001,953.2359329700106,69.6416
DOM,Dominican Republic,2002,1021.581774341104,69.923
DOM,Dominican Republic,2003,921.5468417684926,70.2649
DOM,Dominican Republic,2004,908.5613504301771,70.3305
DOM,Dominican Republic,2005,1077.9425282024415,70.8752
DOM,Dominican Republic,2006,1328.0916044280086,71.1654
DOM,Dominican Republic,2007,1633.4571204438746,71.371
DOM,Dominican Republic,2008,1786.9659748031286,71.6577
DOM,Dominican Republic,2009,1778.2414091815833,71.871
DOM,Dominican Republic,2010,1988.1264816092473,72.0933
DOM,Dominican Republic,2011,2112.0410275160475,72.2212
DOM,Dominican Republic,2012,2252.556431853819,72.5142
DOM,Dominican Republic,2013,2335.377634818325,72.7127
DOM,Dominican Republic,2014,2490.621409434676,72.8665
DOM,Dominican Republic,2015,2682.9905321846877,72.9531
DOM,Dominican Republic,2016,2838.7814888199723,72.9867
DOM,Dominican Republic,2017,2987.807618506073,73.0629
DOM,Dominican Republic,2018,3363.881391684899,73.2323
DOM,Dominican Republic,2019,3574.4849523096145,73.5767
DOM,Dominican Republic,2020,2988.4065898813265,72.8894
ECU,Ecuador,2000,632.9897320607962,72.8394
ECU,Ecuador,2001,637.5583677773941,73.2395
