PAIS,NOMBRE PAIS,ANIO,ALFABETIZACION,ANIOS ESCOLARIDAD,ED.INDEX,ESPERANZA
BRA,Brazil,2000,86.3678817749023,5.4,4.663865615844725,69.7367
BRA,Brazil,2001,86.92997169494625,5.6,4.868078414916989,70.1949
BRA,Brazil,2002,87.4920616149902,5.8,5.074539573669432,70.4103
BRA,Brazil,2003,88.05415153503415,6.0,5.283249092102049,70.7204
BRA,Brazil,2004,88.6162414550781,6.2,5.494206970214842,71.1307
BRA,Brazil,2005,89.1157341003418,6.2,5.525175514221191,71.7533
BRA,Brazil,2006,89.6152267456055,6.3,5.6457592849731455,72.0373
BRA,Brazil,2007,90.0093688964844,6.4,5.760599609375002,72.3653
BRA,Brazil,2008,90.03662109375,6.5,5.8523803710937505,72.7153
BRA,Brazil,2009,90.298210144043,6.7,6.049980079650881,72.9484
BRA,Brazil,2010,90.3791809082031,6.8,6.145784301757811,73.1821
BRA,Brazil,2011,91.4112396240234,6.9,6.3073755340576145,73.3432
BRA,Brazil,2012,91.3378524780273,7.1,6.484987525939938,73.5517
BRA,Brazil,2013,91.4842376708984,7.3,6.678349349975583,73.9185
BRA,Brazil,2014,91.7294311523438,7.4,6.787977905273443,74.3058
BRA,Brazil,2015,92.0478973388672,7.4,6.811544403076173,74.3325
BRA,Brazil,2016,92.8084411621094,7.6,7.053441528320314,74.4415
BRA,Brazil,2017,93.0758209228516,7.7,7.166838211059574,74.8266
BRA,Brazil,2018,93.2275009155273,7.8,7.27174507141113,75.1095
BRA,Brazil,2019,93.2275009155273,7.8,7.27174507141113,75.3379
BRA,Brazil,2020,93.2275009155273,8.0,7.4582000732421845,74.0089
BRB,Barbados,2000,99.5999984741211,8.7,8.665199867248536,74.0891
BRB,Barbados,2001,99.5999984741211,9.0,8.9639998626709,74.2467
BRB,Barbados,2002,99.5999984741211,9.0,8.9639998626709,74.3656
BRB,Barbados,2003,99.5999984741211,9.1,9.06359986114502,74.4717
