,ds,id_pais,yhat
0,2000-01-01,CUB,76.18310000000182
1,2001-01-01,CUB,76.4208000000032
2,2002-01-01,CUB,76.61239999999997
3,2003-01-01,CUB,76.77289999999495
4,2004-01-01,CUB,76.91159999999996
5,2005-01-01,CUB,77.04689999999916
6,2006-01-01,CUB,77.17879999999897
7,2007-01-01,CUB,77.3071999999966
8,2008-01-01,CUB,77.42940000000021
9,2009-01-01,CUB,77.54829999999589
10,2010-01-01,CUB,77.66100000000158
11,2011-01-01,CUB,77.75970000000049
12,2012-01-01,CUB,77.83280000000173
13,2013-01-01,CUB,77.86980000000015
14,2014-01-01,CUB,77.85329999999607
15,2015-01-01,CUB,77.77199999999839
16,2016-01-01,CUB,77.64300000000192
17,2017-01-01,CUB,77.52860000000356
18,2018-01-01,CUB,77.4962000000046
19,2019-01-01,CUB,77.61119999999865
20,2019-12-31,CUB,77.46164480038429
21,2020-12-31,CUB,77.87710569483906
22,2021-12-31,CUB,77.9669233785942
23,2022-12-31,CUB,78.00626986125387
24,2023-12-31,CUB,77.97898795738416
25,2024-12-31,CUB,78.39444885197096
26,2025-12-31,CUB,78.4842665359346
0,2000-01-01,DMA,72.84847160723575
1,2001-01-01,DMA,72.37851156761232
2,2002-01-01,DMA,71.52622473699778
3,2003-01-01,DMA,72.4608243248774
4,2004-01-01,DMA,72.0361917470667
5,2005-01-01,DMA,71.2794116797775
6,2006-01-01,DMA,72.29299808002948
7,2007-01-01,DMA,72.60382498094498
8,2008-01-01,DMA,73.6042332993513
9,2009-01-01,DMA,71.71448798936399
10,2010-01-01,DMA,71.20513936229429
11,2011-01-01,DMA,71.04037729028681
12,2012-01-01,DMA,69.32601405500127
13,2013-01-01,DMA,69.34831623659417
14,2014-01-01,DMA,69.25321615423198
15,2015-01-01,DMA,68.60114900906433
16,2016-01-01,DMA,70.27485418302379
17,2017-01-01,DMA,68.88652024005066
18,2018-01-01,DMA,72.43909321979362
19,2019-01-01,DMA,73.67452628742708
20,2019-12-31,DMA,70.98311690385124
21,2020-12-31,DMA,71.87331832332183
22,2021-12-31,DMA,70.67052294562494
23,2022-12-31,DMA,69.26956759168198
24,2023-12-31,DMA,67.6733216384458
25,2024-12-31,DMA,68.56352305794586
26,2025-12-31,DMA,67.36072768025461
0,2000-01-01,DOM,69.42319999999943
1,2001-01-01,DOM,69.64159999999875
2,2002-01-01,DOM,69.92300000000012
3,2003-01-01,DOM,70.26489999999747
4,2004-01-01,DOM,70.33049999999972
5,2005-01-01,DOM,70.87520000000069
6,2006-01-01,DOM,71.16540000000013
7,2007-01-01,DOM,71.3709999999995
8,2008-01-01,DOM,71.6576999999997
9,2009-01-01,DOM,71.87099999999815
10,2010-01-01,DOM,72.09329999999981
11,2011-01-01,DOM,72.22120000000007
12,2012-01-01,DOM,72.51420000000076
13,2013-01-01,DOM,72.71269999999936
14,2014-01-01,DOM,72.86650000000007
15,2015-01-01,DOM,72.95309999999886
16,2016-01-01,DOM,72.98669999999919
17,2017-01-01,DOM,73.06290000000152
18,2018-01-01,DOM,73.23229999999968
19,2019-01-01,DOM,73.57670000000006
20,2019-12-31,DOM,71.7842697744786
21,2020-12-31,DOM,74.54360728244158
22,2021-12-31,DOM,74.76599436319258
23,2022-12-31,DOM,74.77688641860817
24,2023-12-31,DOM,74.54880498344325
25,2024-12-31,DOM,77.30814249042807
26,2025-12-31,DOM,77.53052957203221
0,2000-01-01,ECU,72.83939999999944
1,2001-01-01,ECU,73.23950000000583
2,2002-01-01,ECU,73.61340000000018
3,2003-01-01,ECU,73.97510000000327
4,2004-01-01,ECU,74.27880000000643
5,2005-01-01,ECU,74.5144000000026
6,2006-01-01,ECU,74.6890000000053
7,2007-01-01,ECU,74.8445000000028
8,2008-01-01,ECU,74.98299999999807
9,2009-01-01,ECU,75.18409999998553
10,2010-01-01,ECU,75.43009999999907
11,2011-01-01,ECU,75.74250000000826
12,2012-01-01,ECU,76.06160000000122
13,2013-01-01,ECU,76.36939999998953
14,2014-01-01,ECU,76.62210000000525
15,2015-01-01,ECU,76.78929999999825
16,2016-01-01,ECU,76.76339999999382
17,2017-01-01,ECU,76.97250000000874
18,2018-01-01,ECU,77.0937999999975
19,2019-01-01,ECU,77.29710000000229
20,2019-12-31,ECU,75.10660795525239
21,2020-12-31,ECU,77.84696890637525
22,2021-12-31,ECU,77.82370660595811
23,2022-12-31,ECU,77.51229737690923
24,2023-12-31,ECU,76.84636074065372
25,2024-12-31,ECU,79.58672169125293
26,2025-12-31,ECU,79.56345938997676
0,2000-01-01,SLV,69.86469999999485
1,2001-01-01,SLV,69.59819999999888
2,2002-01-01,SLV,70.23239999999862
3,2003-01-01,SLV,70.14009999999817
4,2004-01-01,SLV,70.34020000000046
5,2005-01-01,SLV,70.44030000000005
6,2006-01-01,SLV,70.77319999999962
7,2007-01-01,SLV,71.10809999999788
8,2008-01-01,SLV,71.42360000000102
9,2009-01-01,SLV,71.57560000000103
10,2010-01-01,SLV,71.8477999999969
11,2011-01-01,SLV,71.85889999999635
