PAIS,NOMBRE PAIS,ANIO,IND.ESTADO,ESPERANZA
CHL,Chile,2004,10.726904288256996,77.6161
CHL,Chile,2005,11.038739603897202,78.0159
CHL,Chile,2006,11.369321659868266,78.261
CHL,Chile,2007,11.397775045601678,77.8258
CHL,Chile,2008,11.428047946262067,78.4841
CHL,Chile,2009,11.45367201221444,78.7409
CHL,Chile,2010,11.585963863630404,78.5015
CHL,Chile,2011,11.71971947731248,79.1099
CHL,Chile,2012,11.752055966348971,79.0233
CHL,Chile,2013,11.784471593899173,79.3391
CHL,Chile,2014,11.965655947989125,79.4726
CHL,Chile,2015,12.152911228972176,79.746
CHL,Chile,2016,12.158757583424785,80.0794
CHL,Chile,2017,12.171254708891595,80.3501
CHL,Chile,2018,12.132834415813011,80.1334
CHL,Chile,2019,12.082932509257434,80.3263
CHL,Chile,2020,12.018384827451863,79.3769
COL,Colombia,2000,9.152095667503316,71.3201
COL,Colombia,2001,9.34369063781753,71.502
COL,Colombia,2002,9.594576610411995,71.9389
COL,Colombia,2003,10.023762575841712,72.3606
COL,Colombia,2004,9.772322493338198,72.6951
COL,Colombia,2005,9.977633414066677,73.0814
COL,Colombia,2006,9.895490111081141,73.468
COL,Colombia,2007,9.821019426887142,73.8372
COL,Colombia,2008,9.746104592423327,74.295
COL,Colombia,2009,9.929198469523692,74.7418
COL,Colombia,2010,9.885867324438866,75.0327
COL,Colombia,2011,10.095978209301798,75.3198
COL,Colombia,2012,10.275791811979039,75.5973
COL,Colombia,2013,10.284131596406114,75.8267
COL,Colombia,2014,10.283644296733673,76.0427
COL,Colombia,2015,10.586833527246005,76.2573
COL,Colombia,2016,10.667472113106177,76.4713
COL,Colombia,2017,10.869057080415269,76.6456
COL,Colombia,2018,10.72303517352833,76.7479
COL,Colombia,2019,10.533182216345725,76.7523
COL,Colombia,2020,9.956490694710745,74.7692
CRI,Costa Rica,2000,11.318061595849532,77.5857
CRI,Costa Rica,2001,10.417247550412768,77.5453
CRI,Costa Rica,2002,10.357275181518185,77.9833
CRI,Costa Rica,2003,10.88268968000797,78.072
CRI,Costa Rica,2004,11.085178884666663,78.3305
CRI,Costa Rica,2005,11.295539867095,78.5053
CRI,Costa Rica,2006,10.883841926386786,78.5145
CRI,Costa Rica,2007,10.88485987089775,78.4621
CRI,Costa Rica,2008,11.04308169499585,78.4451
CRI,Costa Rica,2009,10.607582426867618,78.6721
CRI,Costa Rica,2010,11.184771164277883,78.6704
CRI,Costa Rica,2011,11.002893865921852,79.3477
CRI,Costa Rica,2012,11.09516150164424,79.2827
CRI,Costa Rica,2013,10.915875699480585,79.4034
CRI,Costa Rica,2014,11.050953349295941,78.7741
CRI,Costa Rica,2015,11.097983788990565,79.0857
CRI,Costa Rica,2016,11.030055202718776,79.4592
CRI,Costa Rica,2017,11.121765422925812,79.3769
CRI,Costa Rica,2018,11.191718264315238,79.4835
CRI,Costa Rica,2019,11.145931194757178,79.4272
CRI,Costa Rica,2020,10.896076865089077,79.277
CUB,Cuba,2000,12.198923197905842,76.1831
CUB,Cuba,2001,12.200118992208038,76.4208
CUB,Cuba,2002,12.201835509373822,76.6124
CUB,Cuba,2003,12.203048066851355,76.7729
CUB,Cuba,2004,12.204036219574771,76.9116
CUB,Cuba,2005,12.207916216320033,77.0469
CUB,Cuba,2006,12.208389744911548,77.1788
CUB,Cuba,2007,12.21736611495058,77.3072
CUB,Cuba,2008,12.221774279973449,77.4294
CUB,Cuba,2009,12.222672021139402,77.5483
CUB,Cuba,2010,12.221335189413532,77.661
CUB,Cuba,2011,12.226959098168043,77.7597
CUB,Cuba,2012,12.226140762051116,77.8328
CUB,Cuba,2013,12.230296241931603,77.8698
CUB,Cuba,2014,12.235216608146413,77.8533
CUB,Cuba,2015,12.240312008028079,77.772
CUB,Cuba,2016,12.241405957553011,77.643
CUB,Cuba,2017,12.243649578720877,77.5286
CUB,Cuba,2018,12.244516070744089,77.4962
CUB,Cuba,2019,12.246798809280788,77.6112
CUB,Cuba,2020,12.241580131598365,77.5673
DMA,Dominica,2000,10.474695174237093,72.6932
DMA,Dominica,2001,10.474691809033805,71.7132
DMA,Dominica,2002,10.4746906223582,72.3395
DMA,Dominica,2003,10.474693534537192,71.4384
DMA,Dominica,2004,10.474696807806305,72.401
DMA,Dominica,2005,10.474697890899867,72.2543
DMA,Dominica,2006,10.474700798909021,72.8479
DMA,Dominica,2007,10.474706043327181,71.9301
DMA,Dominica,2008,10.474714470071964,73.3054
DMA,Dominica,2009,10.47471909183873,72.1702
DMA,Dominica,2010,10.474721483161058,71.5499
DMA,Dominica,2011,10.47472437618942,69.6948
DMA,Dominica,2012,10.4747259661946,70.5383
DMA,Dominica,2013,10.47472342506549,68.8962
DMA,Dominica,2014,10.474726391921244,69.4342
DMA,Dominica,2015,10.474729163308183,68.7266
DMA,Dominica,2016,10.474754260799356,70.1284
DMA,Dominica,2017,10.474742449031742,67.5253
DMA,Dominica,2018,10.47476894872813,73.59
DMA,Dominica,2019,10.474770467428321,73.5588
DMA,Dominica,2020,10.474735087379127,73.649
DOM,Dominican Republic,2000,10.416948531003017,69.4232
DOM,Dominican Republic,2001,10.729673967963954,69.6416
DOM,Dominican Republic,2002,10.794682709545308,69.923
DOM,Dominican Republic,2003,10.296355974605715,70.2649
DOM,Dominican Republic,2004,10.296444191796372,70.3305
DOM,Dominican Republic,2005,10.73069985449492,70.8752
DOM,Dominican Republic,2006,10.318011354893441,71.1654
DOM,Dominican Republic,2007,10.97311938845486,71.371
DOM,Dominican Republic,2008,11.156780793581008,71.6577
DOM,Dominican Republic,2009,10.974712530018298,71.871
DOM,Dominican Republic,2010,11.347489582614584,72.0933
DOM,Dominican Republic,2011,11.25323934931314,72.2212
DOM,Dominican Republic,2012,11.644675754183504,72.5142
DOM,Dominican Republic,2013,11.255555521994685,72.7127
DOM,Dominican Republic,2014,12.12106349129304,72.8665
DOM,Dominican Republic,2015,11.880387320235016,72.9531
DOM,Dominican Republic,2016,11.751481582173685,72.9867
DOM,Dominican Republic,2017,12.727244645774807,73.0629
DOM,Dominican Republic,2018,12.291440090352209,73.2323
DOM,Dominican Republic,2019,12.820898285216193,73.5767
DOM,Dominican Republic,2020,13.561521867193918,72.8894
ECU,Ecuador,2000,9.51036516852468,72.8394
ECU,Ecuador,2001,9.677051984624613,73.2395
ECU,Ecuador,2002,9.849762073234123,73.6134
ECU,Ecuador,2003,10.028999233952655,73.9751
ECU,Ecuador,2004,9.955509979815368,74.2788
ECU,Ecuador,2005,10.106576838658304,74.5144
ECU,Ecuador,2006,10.262479730580523,74.689
ECU,Ecuador,2007,10.051792791243866,74.8445
ECU,Ecuador,2008,10.78099994072027,74.983
ECU,Ecuador,2009,11.071211769460579,75.1841
ECU,Ecuador,2010,11.005497893511157,75.4301
ECU,Ecuador,2011,11.704063079598516,75.7425
ECU,Ecuador,2012,11.655820790582052,76.0616
ECU,Ecuador,2013,11.459713010301773,76.3694
ECU,Ecuador,2014,11.945900673156117,76.6221
ECU,Ecuador,2015,11.686587591690587,76.7893
ECU,Ecuador,2016,11.944539533517984,76.7634
ECU,Ecuador,2017,12.026755358329167,76.9725
ECU,Ecuador,2018,11.843207609726703,77.0938
ECU,Ecuador,2019,11.76451193872927,77.2971
ECU,Ecuador,2020,11.365171567117024,72.1535
GRD,Grenada,2000,10.474730980825834,72.7829
GRD,Grenada,2001,10.474733705003189,73.1181
GRD,Grenada,2002,10.474743241920219,73.167
GRD,Grenada,2003,10.474743054662444,73.1875
GRD,Grenada,2004,10.474745727483223,71.7876
GRD,Grenada,2005,10.474760834046515,73.5214
GRD,Grenada,2006,10.474761265779446,73.7004
GRD,Grenada,2007,10.4747742723083,74.3165
GRD,Grenada,2008,10.474789344863618,74.6558
GRD,Grenada,2009,10.474780170275213,75.0363
GRD,Grenada,2010,10.474780198052262,74.9988
GRD,Grenada,2011,10.47478781862392,75.2947
GRD,Grenada,2012,10.474792596252692,75.0416
GRD,Grenada,2013,10.474798140152563,75.1161
GRD,Grenada,2014,10.47479666478138,74.985
GRD,Grenada,2015,10.474809772349301,75.0125
GRD,Grenada,2016,10.474805654451021,74.7622
GRD,Grenada,2017,10.474808926057694,74.7652
GRD,Grenada,2018,10.474821917316973,74.8076
GRD,Grenada,2019,10.474838538850388,74.8632
GRD,Grenada,2020,10.474814307939836,74.9238
GTM,Guatemala,2000,9.897879629703406,67.4459
GTM,Guatemala,2001,9.8858085000708,67.9464
GTM,Guatemala,2002,9.87399902302255,68.3865
GTM,Guatemala,2003,9.862141421542391,68.7969
GTM,Guatemala,2004,9.850454292263052,69.1648
GTM,Guatemala,2005,9.838902842521838,69.1675
GTM,Guatemala,2006,9.827514599564156,69.8124
GTM,Guatemala,2007,9.971941436166977,70.1002
GTM,Guatemala,2008,10.120933844824995,70.3556
GTM,Guatemala,2009,10.27330411114757,70.6414
GTM,Guatemala,2010,10.43086726443158,70.8783
GTM,Guatemala,2011,10.594074405427742,71.1769
GTM,Guatemala,2012,10.761980849307253,71.463
GTM,Guatemala,2013,10.934806944805583,71.728
GTM,Guatemala,2014,11.11421140349366,71.9638
GTM,Guatemala,2015,11.115220562858099,72.103
GTM,Guatemala,2016,11.115906847106391,72.3547
GTM,Guatemala,2017,11.117074869603822,72.5506
GTM,Guatemala,2018,11.11762869112167,72.7257
GTM,Guatemala,2019,11.118595802498414,73.1289
GTM,Guatemala,2020,11.116442521823162,71.7969
GUY,Guyana,2000,11.891566496610738,64.4833
GUY,Guyana,2001,11.891562912558769,64.7882
GUY,Guyana,2002,11.455130268419854,64.7275
GUY,Guyana,2003,11.66984930317245,64.6003
GUY,Guyana,2004,11.817567330510316,64.9305
GUY,Guyana,2005,11.34020497391111,65.132
GUY,Guyana,2006,12.529392988520348,65.6666
GUY,Guyana,2007,12.529426985290453,66.2535
GUY,Guyana,2008,12.529459010614863,66.288
GUY,Guyana,2009,12.529482489464694,66.5625
GUY,Guyana,2010,12.52953346374601,66.743
GUY,Guyana,2011,12.529578064630746,66.9818
GUY,Guyana,2012,12.529567148989917,67.2298
GUY,Guyana,2013,12.529694148025238,67.4727
GUY,Guyana,2014,12.529803669431676,67.8818
GUY,Guyana,2015,12.529794416463323,68.2015
GUY,Guyana,2016,12.529919884334483,68.384
GUY,Guyana,2017,12.529999706160106,68.6668
GUY,Guyana,2018,12.53004963016153,68.8959
GUY,Guyana,2019,12.530137474265004,69.1239
GUY,Guyana,2020,12.530140923475743,68.4858
HND,Honduras,2000,9.682230109744776,68.6618
HND,Honduras,2001,9.682292496308357,69.0061
HND,Honduras,2002,9.630236041687022,69.3664
HND,Honduras,2003,9.232604697505568,69.5071
HND,Honduras,2004,9.232750244426978,69.7957
HND,Honduras,2005,9.015818949189104,70.1041
HND,Honduras,2006,9.329770392340961,70.2608
HND,Honduras,2007,9.61443964739232,70.3765
HND,Honduras,2008,9.66694743733985,70.4414
HND,Honduras,2009,10.458716656975175,70.9113
HND,Honduras,2010,10.104475549824429,71.0884
HND,Honduras,2011,10.200864783923496,71.4386
HND,Honduras,2012,10.048184577899786,71.7344
HND,Honduras,2013,10.731343775350236,71.9629
HND,Honduras,2014,10.753468836486908,72.2594
HND,Honduras,2015,10.906365375775469,72.4871
HND,Honduras,2016,10.774718724591779,72.5878
HND,Honduras,2017,10.861906502401554,72.6918
HND,Honduras,2018,10.973861474986743,72.8141
HND,Honduras,2019,11.132954818877893,72.8811
HND,Honduras,2020,11.132984190897268,71.4619
HTI,Haiti,2000,13.049646735768247,58.3652
HTI,Haiti,2001,13.049544191822413,58.4886
HTI,Haiti,2002,13.049459453597963,58.8545
HTI,Haiti,2003,13.04930494358479,59.5065
HTI,Haiti,2004,13.049463095797424,58.4755
HTI,Haiti,2005,13.04959557585974,60.4153
HTI,Haiti,2006,13.049667411066144,60.7632
HTI,Haiti,2007,13.04997273561244,61.103
HTI,Haiti,2008,13.050118604129059,61.3322
HTI,Haiti,2009,13.05021662745478,61.7409
HTI,Haiti,2010,13.050545901166727,46.0185
HTI,Haiti,2011,13.051132634320417,61.6227
HTI,Haiti,2012,13.051148181585921,62.2915
HTI,Haiti,2013,13.05087438643982,62.6047
HTI,Haiti,2014,13.051059150976606,62.9875
HTI,Haiti,2015,13.051207773823503,63.2372
HTI,Haiti,2016,13.050850941594506,63.3922
HTI,Haiti,2017,13.05101108840773,63.8538
HTI,Haiti,2018,13.051196044115837,64.0188
HTI,Haiti,2019,13.05099752310837,64.2546
HTI,Haiti,2020,13.051226235567364,64.0518
JAM,Jamaica,2000,11.105537142055447,70.9442
JAM,Jamaica,2001,11.105562173304465,70.758
JAM,Jamaica,2002,11.10559559210953,70.8882
JAM,Jamaica,2003,11.436715312406525,70.8062
JAM,Jamaica,2004,11.788810681784186,70.8603
JAM,Jamaica,2005,11.78913079783594,71.0438
JAM,Jamaica,2006,11.789299832525607,71.1993
JAM,Jamaica,2007,11.789918494389134,71.4179
JAM,Jamaica,2008,11.79043994314019,71.6122
JAM,Jamaica,2009,11.789904438953366,72.1238
JAM,Jamaica,2010,11.7902793173601,72.6219
JAM,Jamaica,2011,11.790550557160419,73.0942
JAM,Jamaica,2012,11.79048278913056,73.4335
JAM,Jamaica,2013,11.79041853560756,73.4119
JAM,Jamaica,2014,11.790323638847582,72.982
JAM,Jamaica,2015,11.790368544932358,72.394
JAM,Jamaica,2016,11.790324811288148,72.0198
JAM,Jamaica,2017,11.790638037331965,71.9114
JAM,Jamaica,2018,11.790869472093595,71.793
JAM,Jamaica,2019,11.790857617161569,71.767
JAM,Jamaica,2020,11.790237145831952,71.8686
KNA,St. Kitts and Nevis,2000,10.474714954028979,69.7815
KNA,St. Kitts and Nevis,2001,10.474715473095218,70.1995
KNA,St. Kitts and Nevis,2002,10.474715192725013,70.4518
KNA,St. Kitts and Nevis,2003,10.474714857358382,70.7676
KNA,St. Kitts and Nevis,2004,10.474720324898561,71.303
KNA,St. Kitts and Nevis,2005,10.474728120102917,71.3616
KNA,St. Kitts and Nevis,2006,10.474750691833087,71.2885
KNA,St. Kitts and Nevis,2007,10.47475803316333,71.3668
KNA,St. Kitts and Nevis,2008,10.474781408326301,71.3738
KNA,St. Kitts and Nevis,2009,10.474777506267962,71.3927
KNA,St. Kitts and Nevis,2010,10.47477332493664,71.2705
KNA,St. Kitts and Nevis,2011,10.47477922988116,71.5378
KNA,St. Kitts and Nevis,2012,10.47477265674314,71.669
KNA,St. Kitts and Nevis,2013,10.474778983955924,71.457
KNA,St. Kitts and Nevis,2014,10.474782303453917,70.9659
KNA,St. Kitts and Nevis,2015,10.47478626704166,70.763
KNA,St. Kitts and Nevis,2016,10.474830162607791,71.7405
KNA,St. Kitts and Nevis,2017,10.474841431088592,71.8399
KNA,St. Kitts and Nevis,2018,10.474840351368721,71.4671
KNA,St. Kitts and Nevis,2019,10.474858174588256,71.5717
KNA,St. Kitts and Nevis,2020,10.474817749007485,71.6266
LCA,St. Lucia,2000,10.47482945877628,70.7678
LCA,St. Lucia,2001,10.474825521363021,71.1345
LCA,St. Lucia,2002,10.4748126523741,71.472
LCA,St. Lucia,2003,10.474806050396332,71.7707
LCA,St. Lucia,2004,10.474807834953685,72.0276
LCA,St. Lucia,2005,10.474838792440366,72.2445
LCA,St. Lucia,2006,10.474880495155803,72.4654
LCA,St. Lucia,2007,10.474901092785936,72.5985
LCA,St. Lucia,2008,10.474905094893698,72.6977
LCA,St. Lucia,2009,10.474864541486829,72.7222
LCA,St. Lucia,2010,10.474884692877646,72.7196
LCA,St. Lucia,2011,10.474906152586207,72.944
LCA,St. Lucia,2012,10.47489669876769,72.8821
LCA,St. Lucia,2013,10.474930017588756,72.7353
LCA,St. Lucia,2014,10.474933312078814,72.8638
LCA,St. Lucia,2015,10.47493558855951,73.1381
LCA,St. Lucia,2016,10.47500593909058,73.1116
LCA,St. Lucia,2017,10.474960577469323,73.1275
LCA,St. Lucia,2018,10.474949843431746,73.3569
LCA,St. Lucia,2019,10.47495125937944,73.4449
LCA,St. Lucia,2020,10.474885534826964,73.416
MEX,Mexico,2000,10.313571554428806,73.5692
MEX,Mexico,2001,10.582345426653632,73.8668
MEX,Mexico,2002,10.856894596595971,74.1059
MEX,Mexico,2003,10.87969333863098,74.2743
MEX,Mexico,2004,10.899195106082349,74.372
MEX,Mexico,2005,10.898682009953527,74.3765
MEX,Mexico,2006,11.181221860451501,74.3313
MEX,Mexico,2007,11.087624083869398,74.2384
MEX,Mexico,2008,10.991380967604911,74.1524
MEX,Mexico,2009,11.26507486836624,74.119
MEX,Mexico,2010,11.617599214764404,74.1901
MEX,Mexico,2011,11.457763498863864,74.3651
MEX,Mexico,2012,11.288308933164684,74.574
MEX,Mexico,2013,11.298385575592121,74.7391
MEX,Mexico,2014,11.316098316732571,74.7974
MEX,Mexico,2015,11.403300173842256,74.6822
MEX,Mexico,2016,11.488487239556644,74.4122
MEX,Mexico,2017,11.615315737517864,74.1378
MEX,Mexico,2018,11.744156258082976,74.0146
MEX,Mexico,2019,11.92092691722102,74.2021
MEX,Mexico,2020,12.049650421694496,70.1328
