PAIS,NOMBRE PAIS,ANIO,FUERZA LABORAL,DESEMPLEO,EMPLEADOS,INGRESO MEDIO PC,TRAB.INDEX,POBLACION,ESPERANZA
BLZ,Belize,2018,171026.0,6.64400005340576,159663.0,4560.0,1900.5961819088368,383071.0,73.7031
BLZ,Belize,2019,175539.0,6.71099996566772,163759.0,4610.0,1933.9747816708552,390351.0,73.9313
BLZ,Belize,2020,170828.0,8.46199989318848,156373.0,3930.0,1545.5569248103093,397621.0,72.854
BOL,Bolivia,2000,3687215.0,2.37800002098084,3599533.0,980.0,419.0341174611886,8418270.0,62.3461
BOL,Bolivia,2001,3793707.0,2.48499989509583,3699433.0,950.0,409.5992316768614,8580244.0,62.8426
BOL,Bolivia,2002,3903550.0,2.49399995803833,3806195.0,920.0,400.5227831471349,8742822.0,63.3064
BOL,Bolivia,2003,4016609.0,2.53699994087219,3914708.0,910.0,400.00631946300285,8905820.0,63.6348
BOL,Bolivia,2004,4132754.0,2.50300002098084,4029311.0,950.0,422.078165019378,9069044.0,64.0041
BOL,Bolivia,2005,4252111.0,2.54399991035461,4143937.0,1020.0,457.8290655818089,9232301.0,64.3856
BOL,Bolivia,2006,4371661.0,2.57599997520447,4259047.0,1110.0,503.1736290623258,9395449.0,64.7793
BOL,Bolivia,2007,4420346.0,2.64599990844727,4303384.0,1220.0,549.2663633953581,9558438.0,65.0267
BOL,Bolivia,2008,4518001.0,2.59999990463257,4400533.0,1480.0,669.9395821017364,9721457.0,65.4459
BOL,Bolivia,2009,4641844.0,2.97000002861023,4503981.0,1620.0,738.1491382214493,9884790.0,65.8803
BOL,Bolivia,2010,4742968.0,2.61400008201599,4618987.0,1780.0,818.2034626326441,10048597.0,66.1624
BOL,Bolivia,2011,4846370.0,2.25,4737327.0,2000.0,927.7097285593557,10212951.0,66.5337
BOL,Bolivia,2012,4723397.0,2.0699999332428,4625623.0,2250.0,1002.8883872566086,10377677.0,66.7046
BOL,Bolivia,2013,4875374.0,2.44000005722046,4756415.0,2590.0,1168.5331673365822,10542375.0,67.0207
BOL,Bolivia,2014,5131268.0,2.01999998092651,5027616.0,2830.0,1328.924549412288,10706517.0,67.1632
BOL,Bolivia,2015,4928636.0,3.10999989509583,4775355.0,2960.0,1300.4047201899734,10869732.0,67.3182
BOL,Bolivia,2016,5054335.0,3.5,4877433.0,3040.0,1344.0568856169,11031822.0,67.6277
BOL,Bolivia,2017,5259275.0,3.65000009536743,5067311.0,3090.0,1398.9276004964954,11192853.0,67.7015
BOL,Bolivia,2018,5618578.0,3.51999998092651,5420804.0,3370.0,1609.0799091705026,11353140.0,67.748
BOL,Bolivia,2019,5645342.0,3.8199999332428,5429690.0,3520.0,1660.0659665831154,11513102.0,67.841
BOL,Bolivia,2020,5251670.0,7.90000009536743,4836788.0,3190.0,1321.7952015710746,11673029.0,64.4667
BRA,Brazil,2000,77377185.0,9.56099987030029,69979152.0,3940.0,1577.4204710478878,174790339.0,69.7367
BRA,Brazil,2001,79670542.0,9.60999965667725,72014203.0,3340.0,1357.4085689979627,177196051.0,70.1949
BRA,Brazil,2002,82226244.0,9.36999988555908,74521645.0,3100.0,1286.73435858865,179537523.0,70.4103
BRA,Brazil,2003,83821485.0,9.98999977111816,75447719.0,2990.0,1240.798734139173,181809244.0,70.7204
BRA,Brazil,2004,86393585.0,9.10999965667725,78523130.0,3350.0,1429.5827349644574,184006479.0,71.1307
