PAIS,NOMBRE PAIS,ANIO,RENTA RECURSOS,INDUSTRIA,PIB,INVERSION SALUD,INVERSION EDUCACION,INVERSION DESARROLLO,GINI,INVERS.,PIB.INV,IND.ESTADO,ESPERANZA
BHS,"Bahamas, The",2006,0.0074018592480078,11.7337529813863,10167250000.0,4.30935764,2.50999999046326,0.11101967365038176,40.7,0.06930377304113641,704628786.4524941,13.17866767818678,72.855
BHS,"Bahamas, The",2007,0.0078641694249099,9.25945110064285,10618340000.0,4.4963069,2.73000001907349,0.11081836226045085,40.7,0.07337125281333941,779080908.5979943,13.178850607233821,72.6785
BHS,"Bahamas, The",2008,0.0088150817951502,10.3895116853506,10526000000.0,4.8630805,2.89000010490417,0.11061705087051993,40.7,0.0786369765577469,827732815.2468439,13.178970145087996,72.6671
BHS,"Bahamas, The",2009,0.008625399326768,10.0100581448934,9981960000.0,5.15085459,2.92000007629395,0.11041573948058901,40.7,0.08181270405774539,816651139.3962522,13.178942917383203,72.5794
BHS,"Bahamas, The",2010,0.015294777644818,11.4998771761611,10095760000.0,5.25673914,2.77999997138977,0.1102144280906581,40.7,0.08146953539480428,822496876.6574492,13.178957280374016,72.7314
BHS,"Bahamas, The",2011,0.0132816629067002,12.0451419747876,10070450000.0,5.32418823,2.66000008583069,0.11001311670072718,40.7,0.08094201432531417,815122508.1623601,13.178939161532504,72.5638
BHS,"Bahamas, The",2012,0.0123262091368237,13.0339070006063,10720500000.0,5.31907082,2.60999989509583,0.10981180531079626,40.7,0.08038882520406627,861808400.6001925,13.179053868884933,72.7528
BHS,"Bahamas, The",2013,0.014628204466075,12.8327716135873,10562800000.0,5.5913291,2.72000002861023,0.10961049392086535,40.7,0.08420939622531096,889487010.4487146,13.179121875297335,73.0237
BHS,"Bahamas, The",2014,0.0176754252123636,13.1405409758324,11176100000.0,5.57097006,2.5,0.10940918253093443,40.7,0.08180379242530934,914247364.5244998,13.179182711548137,73.3658
BHS,"Bahamas, The",2015,0.0142284971225151,11.0277442905437,11861900000.0,5.2271986,2.24990105628967,0.10920787114100351,40.7,0.07586307527430675,899880212.5962992,13.179147411420551,73.104
BHS,"Bahamas, The",2016,0.0172000157782544,12.0325148293985,11834600000.0,5.62038803,2.33118152618408,0.10900655975107258,40.7,0.08060576115935153,953936941.0164616,13.179280228935095,73.5368
BHS,"Bahamas, The",2017,0.0172668668963389,13.1279536479575,12357600000.0,6.6088872,2.42276906967163,0.10880524836114167,40.7,0.09140461518032772,1129541672.5524178,13.179711690191942,73.6317
BHS,"Bahamas, The",2018,0.0131164597095545,12.2164035183995,12755800000.0,5.92999935,2.24967384338379,0.10860393697121075,40.7,0.08288277130355001,1057236054.1938232,13.179534035109977,73.8057
BHS,"Bahamas, The",2019,0.01245949621164,12.0778000121278,13192800000.0,5.74977493,2.28841733932495,0.10840262558127983,40.7,0.0814659489490623,1074763971.2951891,13.179577101245362,71.205
BHS,"Bahamas, The",2020,0.0179214631341619,12.0294860559823,9699500000.0,4.992349625,2.3713436126709,0.10820131419134892,40.7,0.07471894551862249,724736412.0578789,13.178717082672298,72.6766
