PAIS,NOMBRE PAIS,ANIO,CONSUMO ALCOHOL,CONSUMO TABACO,HAB.MEAN,SERV SANITARIOS,ACCESO ELECTRICIDAD,ACC.AE,IND.N.VIDA,ESPERANZA
ATG,Antigua and Barbuda,2009,8.06972,9.3,0.0868486,85.93659809,98.4812774658203,0.8463145960969973,9.744712017200017,76.6694
ATG,Antigua and Barbuda,2010,8.05026,9.2,0.08625129999999999,86.32851916,98.5972366333008,0.8511753431820962,9.868550887721069,76.8195
ATG,Antigua and Barbuda,2011,7.734523333333333,9.12,0.08427261666666666,86.72044024,94.5520172119141,0.819959255819725,9.72984212728324,77.1038
ATG,Antigua and Barbuda,2012,7.3456133333333336,9.04,0.08192806666666666,87.11236131,100.0,0.8711236131,10.632786156717968,77.3502
ATG,Antigua and Barbuda,2013,7.54,8.96,0.0825,87.50428238,100.0,0.8750428238000001,10.606579682424243,77.5834
ATG,Antigua and Barbuda,2014,8.296666666666667,8.88,0.08588333333333335,87.50428238,100.0,0.8750428238000001,10.188738487871142,77.8577
ATG,Antigua and Barbuda,2015,9.103333333333333,8.8,0.08951666666666667,87.50428238,100.0,0.8750428238000001,9.775194456898157,77.9127
ATG,Antigua and Barbuda,2016,9.383333333333333,8.7,0.09041666666666666,87.50428238,100.0,0.8750428238000001,9.677892982119818,78.1516
ATG,Antigua and Barbuda,2017,9.49,8.6,0.09045,87.50428238,100.0,0.8750428238000001,9.674326410171366,78.2683
ATG,Antigua and Barbuda,2018,9.863333333333333,8.5,0.09181666666666667,87.50428238,100.0,0.8750428238000001,9.53032663423489,78.5112
ATG,Antigua and Barbuda,2019,10.603333333333333,8.5,0.09551666666666665,87.50428238,100.0,0.8750428238000001,9.161153276566047,78.6912
ATG,Antigua and Barbuda,2020,11.313333333333333,8.5,0.09906666666666666,87.50428238,100.0,0.8750428238000001,8.832868342530285,78.8406
BHS,"Bahamas, The",2000,9.566666666666665,10.7,0.10133333333333333,87.60182734,100.0,0.8760182734,8.644917171710526,72.0411
BHS,"Bahamas, The",2001,10.119213333333335,10.7,0.10409606666666667,88.11921007,100.0,0.8811921007,8.46518152815252,72.1101
BHS,"Bahamas, The",2002,10.652013333333334,10.7,0.10676006666666665,88.6379844,100.0,0.8863798439999999,8.302541124927485,72.2316
BHS,"Bahamas, The",2003,11.416643333333333,10.7,0.11058321666666666,89.15815034,100.0,0.8915815034000001,8.062539056785743,72.402
BHS,"Bahamas, The",2004,10.970596666666665,10.7,0.10835298333333332,89.67970787,100.0,0.8967970787,8.276625627751521,72.478
BHS,"Bahamas, The",2005,10.380469999999999,10.7,0.10540234999999999,90.20265699,100.0,0.9020265699,8.557936041274223,72.7654
BHS,"Bahamas, The",2006,10.009556666666667,10.7,0.10354778333333332,90.72699772,100.0,0.9072699772,8.761848375637207,72.855
BHS,"Bahamas, The",2007,9.754533333333333,10.7,0.10227266666666665,91.25273005,100.0,0.9125273005,8.922494447848562,72.6785
BHS,"Bahamas, The",2008,9.8598,10.7,0.102799,91.77985398,100.0,0.9177985398,8.928088209029271,72.6671
BHS,"Bahamas, The",2009,9.798666666666666,10.7,0.10249333333333333,92.3083695,100.0,0.923083695,9.006280359698192,72.5794
BHS,"Bahamas, The",2010,9.441813333333334,10.7,0.10070906666666665,92.83827663,100.0,0.9283827662999999,9.218462617400883,72.7314
BHS,"Bahamas, The",2011,9.203873333333334,10.68,0.09941936666666668,93.36957535,100.0,0.9336957535,9.391487642749684,72.5638
BHS,"Bahamas, The",2012,9.064623333333333,10.66,0.09862311666666666,93.90226567,100.0,0.9390226567000001,9.521324091528914,72.7528
BHS,"Bahamas, The",2013,9.270000000000001,10.639999999999999,0.09955,94.24503789,100.0,0.9424503789,9.467105764942241,73.0237
BHS,"Bahamas, The",2014,9.276666666666666,10.62,0.09948333333333333,94.58781011,100.0,0.9458781011,9.507905187803653,73.3658
BHS,"Bahamas, The",2015,9.273333333333333,10.6,0.09936666666666667,94.93058233,100.0,0.9493058232999999,9.553564139215027,73.104
BHS,"Bahamas, The",2016,9.24,10.633333333333333,0.09936666666666667,94.93058233,100.0,0.9493058232999999,9.553564139215027,73.5368
BHS,"Bahamas, The",2017,9.263333333333334,10.666666666666666,0.09965,94.93058233,100.0,0.9493058232999999,9.52640063522328,73.6317
BHS,"Bahamas, The",2018,9.296666666666667,10.7,0.09998333333333333,94.93058233,100.0,0.9493058232999999,9.494640673112185,73.8057
BHS,"Bahamas, The",2019,9.306666666666667,10.7,0.10003333333333334,94.93058233,100.0,0.9493058232999999,9.489894934688436,71.205
BHS,"Bahamas, The",2020,9.366666666666667,10.6,0.09983333333333334,94.93058233,100.0,0.9493058232999999,9.508906410350582,72.6766
BLZ,Belize,2000,5.196666666666666,15.0,0.10098333333333333,82.43798885,79.0,0.651260111915,6.449184141756065,68.5645
BLZ,Belize,2001,5.043003333333334,14.6,0.09821501666666667,82.76326435,80.1969604492188,0.6637362237725191,6.7579912553004275,68.3572
BLZ,Belize,2002,4.890876666666667,14.2,0.09545438333333334,83.08856932,81.0294189453125,0.673261849299692,7.0532313529135156,68.7521
BLZ,Belize,2003,4.796683333333334,13.8,0.09298341666666668,83.41390156,81.8566360473633,0.682798138128751,7.34322487392018,68.9091
