id_pais,year, srv_sanit_bas
GUY,2003,80.36824606
GUY,2002,79.85415092
GUY,2001,79.33274119
GUY,2000,78.81211752
GTM,2020,67.92858108
GTM,2019,67.68918412
GTM,2018,67.44372128
GTM,2017,67.1919655
GTM,2016,66.93445822
GTM,2015,66.67125906
GTM,2014,66.4019023
GTM,2013,66.12724862
GTM,2012,65.84684641
GTM,2011,65.56077361
GTM,2010,65.26596018
GTM,2009,64.96173676
GTM,2008,64.6488813
GTM,2007,64.32611565
GTM,2006,63.99423164
GTM,2005,63.65314723
GTM,2004,63.3024606
GTM,2003,62.94174433
GTM,2002,62.56621524
GTM,2001,62.17243432
GTM,2000,61.76848485
GRD,2020,91.49389213
GRD,2019,91.49389213
GRD,2018,91.49389213
GRD,2017,91.49389213
GRD,2016,91.49389213
GRD,2015,91.49389213
GRD,2014,91.49389213
GRD,2013,91.49389213
GRD,2012,91.82559528
GRD,2011,92.15729842
GRD,2010,92.48900156
GRD,2009,92.2320455
GRD,2008,91.97088219
GRD,2007,91.70551163
GRD,2006,91.43593381
GRD,2005,91.16214873
GRD,2004,90.88415641
GRD,2003,90.60195683
GRD,2002,90.31554999
GRD,2001,90.02493591
GRD,2000,89.73011457
SLV,2020,82.44975254
SLV,2019,82.6592314
SLV,2018,82.78125746
SLV,2017,82.8941281
SLV,2016,82.99726197
SLV,2015,83.09007631
SLV,2014,83.17240388
SLV,2013,83.24572399
SLV,2012,83.30959128
SLV,2011,83.36305989
SLV,2010,83.40580497
SLV,2009,83.43746748
SLV,2008,83.45721699
SLV,2007,83.46405441
SLV,2006,83.50737182
SLV,2005,83.5460225
SLV,2004,83.57199197
SLV,2003,83.58438858
SLV,2002,83.58339424
SLV,2001,83.49710024
SLV,2000,83.41049181
ECU,2020,91.52492213
ECU,2019,90.59721885
ECU,2018,89.66716322
ECU,2017,88.7353553
ECU,2016,87.64436728
ECU,2015,86.44766062
ECU,2014,85.25232617
ECU,2013,84.05858271
ECU,2012,82.86619903
ECU,2011,81.6752982
ECU,2010,80.48226877
ECU,2009,79.28477018
ECU,2008,78.08760709
ECU,2007,76.89060518
ECU,2006,75.69374435
ECU,2005,74.49741422
ECU,2004,73.3012246
ECU,2003,72.36977901
ECU,2002,71.43326774
ECU,2001,70.46147404
ECU,2000,69.43400125
DOM,2020,87.17818151
DOM,2019,86.72522397
DOM,2018,86.26797816
DOM,2017,85.80633778
DOM,2016,85.34020018
DOM,2015,84.8714095
DOM,2014,84.40033223
DOM,2013,83.92709989
DOM,2012,83.45159162
DOM,2011,82.9735709
DOM,2010,82.48447056
DOM,2009,81.97973872
DOM,2008,81.47220436
DOM,2007,80.96103302
DOM,2006,80.44718737
DOM,2005,79.93067799
DOM,2004,79.41185115
DOM,2003,78.89024343
DOM,2002,78.38916439
DOM,2001,77.94007049
DOM,2000,77.49099026
DMA,2020,80.36642488
DMA,2019,80.36642488
DMA,2018,80.36642488
DMA,2017,80.36642488
DMA,2016,80.36642488
DMA,2015,80.36642488
DMA,2014,80.36642488
DMA,2013,80.36642488
DMA,2012,79.11074396
DMA,2011,77.85506303
DMA,2010,76.59938211
DMA,2009,75.34370118
DMA,2008,74.08802026
DMA,2007,72.83233933
DMA,2006,71.57665841
DMA,2005,70.32097748
DMA,2004,69.06529656
DMA,2003,67.80961563
DMA,2002,66.55393471
DMA,2001,65.29825378
DMA,2000,64.04257286
CUB,2020,91.35635221
CUB,2019,91.14421779
