id_pais,year,camas_hospitales
SLV,2014,1.35
SLV,2013,1.07
SLV,2012,1.07
SLV,2011,1.03
SLV,2010,1.0
SLV,2009,1.1
SLV,2008,0.8
SLV,2007,0.7
SLV,2006,0.9
SLV,2005,0.9
SLV,2004,0.9
SLV,2003,0.9
SLV,2002,0.9
SLV,2001,0.9
SLV,2000,0.9
ECU,2020,1.39
ECU,2019,1.39
ECU,2018,1.39
ECU,2017,1.39
ECU,2016,1.39
ECU,2015,1.57
ECU,2014,1.55
ECU,2013,1.51
ECU,2012,1.5
ECU,2011,1.62
ECU,2010,1.59
ECU,2009,1.6
ECU,2008,1.5
ECU,2007,1.5
ECU,2006,1.55
ECU,2005,1.6
ECU,2004,1.65
ECU,2003,1.7
ECU,2002,1.5
ECU,2001,1.5
ECU,2000,1.5
DOM,2020,1.56
DOM,2019,1.56
DOM,2018,1.56
DOM,2017,1.56
DOM,2016,1.44
DOM,2015,1.58
DOM,2014,1.79
DOM,2013,1.79
DOM,2012,1.74
DOM,2011,1.74
DOM,2010,1.59
DOM,2009,1.44
DOM,2008,1.57
DOM,2007,1.22
DOM,2006,1.6099999999999999
DOM,2005,2.0
DOM,2004,2.0499999523000003
DOM,2003,2.0999999046
DOM,2002,2.0999999046
DOM,2001,2.0999999046
DOM,2000,2.0999999046
DMA,2020,3.8
DMA,2019,3.8
DMA,2018,3.8
DMA,2017,3.8
DMA,2016,3.8
DMA,2015,3.8
DMA,2014,3.8
DMA,2013,3.8
DMA,2012,3.8
DMA,2011,3.8
DMA,2010,3.8
DMA,2009,3.8
DMA,2008,3.8
DMA,2007,4.0
DMA,2006,3.95
DMA,2005,3.9
DMA,2004,3.9
DMA,2003,3.9
DMA,2002,3.9000000954
DMA,2001,3.5
DMA,2000,3.8
CUB,2020,5.33
CUB,2019,5.33
CUB,2018,5.33
CUB,2017,5.33
CUB,2016,5.32
CUB,2015,5.24
CUB,2014,5.16
CUB,2013,5.05
CUB,2012,5.04
CUB,2011,5.08
CUB,2010,5.9
CUB,2009,5.9
CUB,2008,6.0
CUB,2007,4.9
CUB,2006,4.9
CUB,2005,4.9
CUB,2004,4.900000047700001
CUB,2003,4.9000000954
CUB,2002,4.9000000954
CUB,2001,4.9000000954
CUB,2000,4.9000000954
CRI,2020,1.1
CRI,2019,1.1
CRI,2018,1.11
CRI,2017,1.14
CRI,2016,1.15
CRI,2015,1.16
CRI,2014,1.17
CRI,2013,1.18
CRI,2012,1.2
CRI,2011,1.23
CRI,2010,1.24
CRI,2009,1.24
CRI,2008,1.25
CRI,2007,1.3
CRI,2006,1.32
CRI,2005,1.35
CRI,2004,1.5
CRI,2003,1.54
CRI,2002,1.57
CRI,2001,1.61
CRI,2000,1.65
COL,2020,1.71
COL,2019,1.71
COL,2018,1.71
COL,2017,1.7
COL,2016,1.68
COL,2015,1.61
COL,2014,1.59
COL,2013,1.54
COL,2012,1.48
COL,2011,1.45
COL,2010,1.48
COL,2009,1.32
COL,2008,1.16
COL,2007,1.0
COL,2006,1.0
COL,2005,1.1
COL,2004,1.2
COL,2003,1.1000000238
COL,2002,1.1000000238
COL,2001,1.1000000238
COL,2000,1.1000000238
CHL,2020,2.06
CHL,2019,2.06
CHL,2018,2.06
CHL,2017,2.11
CHL,2016,2.12
CHL,2015,2.14
