id_pais,year,gini
CUB,2019,44.0
CUB,2018,44.0
CUB,2017,44.0
CUB,2016,44.0
CUB,2015,44.0
CUB,2014,44.0
CUB,2013,44.0
CUB,2012,44.0
CUB,2011,44.0
CUB,2010,44.0
CUB,2009,44.0
CUB,2008,44.0
CUB,2007,44.0
CUB,2006,44.0
CUB,2005,44.0
CUB,2004,44.0
CUB,2003,44.0
CUB,2002,44.0
CUB,2001,44.0
CUB,2000,44.0
CRI,2020,49.3
CRI,2019,48.2
CRI,2018,48.0
CRI,2017,48.3
CRI,2016,48.7
CRI,2015,48.4
CRI,2014,48.6
CRI,2013,49.2
CRI,2012,48.4
CRI,2011,48.8
CRI,2010,48.0
CRI,2009,50.6
CRI,2008,48.6
CRI,2007,49.3
CRI,2006,49.3
CRI,2005,47.5
CRI,2004,48.4
CRI,2003,49.3
CRI,2002,51.8
CRI,2001,51.5
CRI,2000,47.4
COL,2020,54.2
COL,2019,51.3
COL,2018,50.4
COL,2017,49.7
COL,2016,50.6
COL,2015,51.0
COL,2014,52.6
COL,2013,52.6
COL,2012,52.6
COL,2011,53.5
COL,2010,54.6
COL,2009,54.3
COL,2008,55.3
COL,2007,54.83333333333333
COL,2006,54.36666666666667
COL,2005,53.9
COL,2004,55.0
COL,2003,53.6
COL,2002,56.0
COL,2001,57.5
COL,2000,58.7
CHL,2020,44.9
CHL,2019,44.733333333333334
CHL,2018,44.56666666666666
CHL,2017,44.4
CHL,2016,44.4
CHL,2015,44.4
CHL,2014,45.099999999999994
CHL,2013,45.8
CHL,2012,45.9
CHL,2011,46.0
CHL,2010,46.5
CHL,2009,47.0
CHL,2008,47.1
CHL,2007,47.199999999999996
CHL,2006,47.3
CHL,2005,48.699999999999996
CHL,2004,50.1
CHL,2003,51.5
CHL,2002,51.93333333333333
CHL,2001,52.36666666666667
CHL,2000,52.8
CAN,2020,33.3
CAN,2019,33.3
CAN,2018,33.3
CAN,2017,33.3
CAN,2016,32.7
CAN,2015,33.7
CAN,2014,33.2
CAN,2013,33.8
CAN,2012,33.5
CAN,2011,33.55
CAN,2010,33.6
CAN,2009,33.666666666666664
CAN,2008,33.733333333333334
CAN,2007,33.8
CAN,2006,33.766666666666666
CAN,2005,33.733333333333334
CAN,2004,33.7
CAN,2003,33.6
CAN,2002,33.5
CAN,2001,33.4
CAN,2000,33.3
BRA,2020,48.9
BRA,2019,53.5
BRA,2018,53.9
BRA,2017,53.3
BRA,2016,53.3
BRA,2015,51.9
BRA,2014,52.0
BRA,2013,52.7
BRA,2012,53.4
BRA,2011,52.9
BRA,2010,53.3
BRA,2009,53.7
BRA,2008,54.0
BRA,2007,54.9
BRA,2006,55.6
BRA,2005,56.3
BRA,2004,56.5
BRA,2003,57.6
BRA,2002,58.1
BRA,2001,58.4
BRA,2000,58.4
BOL,2020,43.6
BOL,2019,41.6
BOL,2018,42.6
BOL,2017,44.6
BOL,2016,45.3
BOL,2015,46.7
BOL,2014,47.8
BOL,2013,47.6
BOL,2012,46.6
BOL,2011,46.1
BOL,2010,47.650000000000006
BOL,2009,49.2
BOL,2008,50.8
BOL,2007,54.5
BOL,2006,56.7
BOL,2005,58.5
BOL,2004,55.0
BOL,2003,57.15
BOL,2002,59.3
BOL,2001,57.4
BOL,2000,61.6
BLZ,2020,47.4936
BLZ,2019,47.4936
BLZ,2018,47.4936
BLZ,2017,47.4936
BLZ,2016,47.4936
BLZ,2015,47.4936
BLZ,2014,47.4936
BLZ,2013,48.2659
BLZ,2012,49.0407
BLZ,2011,49.8128
BLZ,2010,50.5868
BLZ,2009,51.3624
BLZ,2008,52.1393
BLZ,2007,52.9118
BLZ,2006,53.6849
BLZ,2005,53.6206
BLZ,2004,53.5563
BLZ,2003,53.4921
BLZ,2002,53.428
BLZ,2001,53.364
BLZ,2000,53.3
BRB,2020,51.2
BRB,2019,51.2
BRB,2018,51.2
BRB,2017,51.2
BRB,2016,51.2
BRB,2015,51.2
BRB,2014,51.2
BRB,2013,51.2
BRB,2012,51.2
BRB,2011,51.2
BRB,2010,51.2
BRB,2009,51.2
BRB,2008,51.2
BRB,2007,51.2
BRB,2006,51.2
BRB,2005,51.2
BRB,2004,51.2
BRB,2003,51.2
BRB,2002,51.2
BRB,2001,51.2
BRB,2000,51.2
ARG,2020,42.3
ARG,2019,42.9
ARG,2018,41.3
ARG,2017,41.1
ARG,2016,42.0
ARG,2015,41.8
ARG,2014,41.6
ARG,2013,40.9
ARG,2012,41.3
ARG,2011,42.6
ARG,2010,43.6
ARG,2009,43.7
ARG,2008,44.9
ARG,2007,46.2
ARG,2006,46.3
ARG,2005,47.7
ARG,2004,48.4
ARG,2003,50.9
ARG,2002,53.8
ARG,2001,53.3
ARG,2000,51.1
ATG,2020,51.2
ATG,2019,51.2
ATG,2018,51.2
ATG,2017,51.2
ATG,2016,51.2
ATG,2015,51.2
ATG,2014,51.2
ATG,2013,51.2
ATG,2012,51.2
ATG,2011,51.2
ATG,2010,51.2
ATG,2009,51.2
ATG,2008,51.2
ATG,2007,51.2
ATG,2006,51.2
ATG,2005,51.2
ATG,2004,51.2
ATG,2003,51.2
ATG,2002,51.2
ATG,2001,51.2
ATG,2000,51.2
