id_pais,year,renta_recursos
PER,2019,4.14690893443035
PER,2018,5.9419462303086
PER,2017,5.94289326884085
PER,2016,4.4209219420146
PER,2015,3.87034540850538
PER,2014,5.49885413380826
PER,2013,7.5737694296158
PER,2012,9.89442960788338
PER,2011,12.6118858514286
PER,2010,11.1977705074539
PER,2009,8.85750081300515
PER,2008,11.8852558545984
PER,2007,14.1730680259083
PER,2006,13.4030533894671
PER,2005,7.83717612088289
PER,2004,6.26736525347865
PER,2003,2.9439807999488
PER,2002,1.96132618608326
PER,2001,1.78357942799834
PER,2000,2.90650149757878
PRY,2020,1.63378068844814
PRY,2019,1.31659322878933
PRY,2018,1.43889960075492
PRY,2017,1.63940520850802
PRY,2016,1.81645903974934
PRY,2015,1.59687785834826
PRY,2014,1.50665576455858
PRY,2013,1.44076255394233
PRY,2012,1.47188633176092
PRY,2011,1.42708959263441
PRY,2010,1.94070106527842
PRY,2009,1.51541180553743
PRY,2008,1.37903214084719
PRY,2007,1.64734891168091
PRY,2006,1.82769554510515
PRY,2005,1.56530977844911
PRY,2004,1.64033653209538
PRY,2003,2.14050942873338
PRY,2002,2.06644461535357
PRY,2001,1.60757447358481
PRY,2000,1.45787297228648
PAN,2020,0.11974655380302
PAN,2019,0.315952109917364
PAN,2018,0.0992421549959882
PAN,2017,0.124285087019138
PAN,2016,0.126426735719514
PAN,2015,0.134976055917076
PAN,2014,0.203805517934463
PAN,2013,0.194417806387066
PAN,2012,0.260231138443882
PAN,2011,0.267844792224432
PAN,2010,0.234720390775009
PAN,2009,0.144701920054709
PAN,2008,0.109519193817279
PAN,2007,0.117743566254022
PAN,2006,0.127267314799788
PAN,2005,0.0972217882047119
PAN,2004,0.160147634592891
PAN,2003,0.143856414123735
PAN,2002,0.123117307933687
PAN,2001,0.124076228094074
PAN,2000,0.137185387867812
NIC,2020,1.63272147554266
NIC,2019,1.25986302950071
NIC,2018,1.9993450792517
NIC,2017,2.69039622741771
NIC,2016,3.10528255813461
NIC,2015,2.1053983561315
NIC,2014,4.1866516905774
NIC,2013,4.73347032592131
NIC,2012,4.5746713612509
NIC,2011,5.06619146173018
NIC,2010,4.12793903263276
NIC,2009,1.17500957995482
NIC,2008,1.24019591924299
NIC,2007,1.54256603348949
NIC,2006,1.57911008602718
NIC,2005,1.09483173230695
NIC,2004,1.29185557601931
NIC,2003,1.12766211903532
NIC,2002,1.14157988948959
NIC,2001,1.1484790007725
NIC,2000,1.35400875398814
MEX,2020,2.08990491135674
MEX,2019,2.33148864039562
MEX,2018,2.97246357186155
MEX,2017,2.49145989462518
MEX,2016,1.97649012771073
MEX,2015,2.20068400833779
MEX,2014,4.58306692696599
MEX,2013,5.59472733708794
MEX,2012,6.41609075589936
MEX,2011,6.80363486995683
MEX,2010,4.87178672283127
MEX,2009,3.97955834388695
MEX,2008,6.46390540473556
MEX,2007,5.61644383895187
MEX,2006,6.14082292371565
MEX,2005,5.7327538146515
MEX,2004,4.36602281833024
MEX,2003,3.44311201943871
MEX,2002,2.62829188080854
MEX,2001,2.49568411439543
MEX,2000,3.48034666575852
JAM,2020,0.205820750325272
JAM,2019,0.150631078654654
JAM,2018,1.44835974994787
JAM,2017,1.34824827044092
JAM,2016,1.22040638396212
JAM,2015,1.26600183798873
JAM,2014,1.34515589159326
JAM,2013,1.30173815869052
JAM,2012,1.33695966237548
JAM,2011,1.72517720981633
JAM,2010,1.42633119032172
JAM,2009,1.29292875762586
JAM,2008,1.95076993144239
JAM,2007,2.88053346722561
JAM,2006,2.66588008902562
JAM,2005,1.98480556667346
JAM,2004,1.72188418798294
JAM,2003,1.06911353036411
JAM,2002,1.11317607312285
JAM,2001,1.52237979807365
JAM,2000,1.4921298589288
HND,2020,1.21157060008364
HND,2019,0.926406175251189
HND,2018,1.07759073362282
HND,2017,1.74313127246781
HND,2016,2.02977607147283
HND,2015,1.57944014389692
HND,2014,2.27680274068997
HND,2013,1.64301099570549
HND,2012,1.63572884282847
HND,2011,1.71295642212588
HND,2010,2.37908699268457
HND,2009,1.17099176784066
HND,2008,1.21155438554767
HND,2007,1.67028456821453
HND,2006,1.9495204048491
HND,2005,1.18824381761044
HND,2004,1.18361589014172
HND,2003,1.23029411916699
HND,2002,1.38516668758156
HND,2001,1.45450367449052
HND,2000,1.38712046325974
HTI,2020,0.569148664987753
HTI,2019,0.443148731928758
HTI,2018,0.439174146127379
HTI,2017,0.657743898321729
HTI,2016,0.790216838416027
HTI,2015,0.574767533621075
HTI,2014,0.698659762484309
HTI,2013,0.541636819116416
HTI,2012,0.492284007822723
HTI,2011,0.526060369289299
HTI,2010,0.665741356275988
HTI,2009,0.337463725945709
HTI,2008,0.399712731965507
HTI,2007,0.403575652798786
HTI,2006,0.47448398450449
HTI,2005,0.347869051540271
HTI,2004,0.415056574933755
