id_pais,year,anios_escolares
LCA,2015,8.4
VCT,2015,8.5
SUR,2015,9.0
TTO,2015,10.9
USA,2015,13.3
URY,2015,8.6
VEN,2015,10.0
ATG,2016,9.2
ARG,2016,10.4
BHS,2016,11.3
BRB,2016,10.5
BLZ,2016,9.5
BOL,2016,8.7
BRA,2016,7.6
CAN,2016,13.2
CHL,2016,10.2
COL,2016,8.1
CRI,2016,8.6
CUB,2016,11.4
DMA,2016,8.0
DOM,2016,7.8
ECU,2016,8.7
SLV,2016,6.6
GRD,2016,8.7
GTM,2016,6.4
GUY,2016,8.4
HTI,2016,5.3
HND,2016,6.3
JAM,2016,9.5
MEX,2016,8.6
NIC,2016,6.5
PAN,2016,9.9
PRY,2016,8.5
PER,2016,9.1
KNA,2016,8.4
LCA,2016,8.4
VCT,2016,8.5
SUR,2016,9.0
TTO,2016,10.9
USA,2016,13.3
URY,2016,8.7
VEN,2016,10.1
ATG,2017,9.2
ARG,2017,10.5
BHS,2017,11.4
BRB,2017,10.6
BLZ,2017,9.7
BOL,2017,8.8
BRA,2017,7.7
CAN,2017,13.3
CHL,2017,10.3
COL,2017,8.3
CRI,2017,8.6
CUB,2017,11.6
DMA,2017,8.0
DOM,2017,7.9
ECU,2017,8.7
SLV,2017,6.8
GRD,2017,8.7
GTM,2017,6.4
GUY,2017,8.4
HTI,2017,5.4
HND,2017,6.5
JAM,2017,9.7
MEX,2017,8.6
NIC,2017,6.7
PAN,2017,10.0
PRY,2017,8.4
PER,2017,9.4
KNA,2017,8.4
LCA,2017,8.5
VCT,2017,8.6
SUR,2017,9.1
TTO,2017,11.0
USA,2017,13.3
URY,2017,8.7
VEN,2017,10.3
ATG,2018,9.3
ARG,2018,10.6
BHS,2018,11.4
BRB,2018,10.6
BLZ,2018,9.8
BOL,2018,8.9
BRA,2018,7.8
CAN,2018,13.3
CHL,2018,10.4
COL,2018,8.3
CRI,2018,8.7
CUB,2018,11.8
DMA,2018,8.1
DOM,2018,7.9
ECU,2018,8.8
SLV,2018,6.9
GRD,2018,8.7
GTM,2018,6.5
GUY,2018,8.5
HTI,2018,5.4
HND,2018,6.6
JAM,2018,9.8
MEX,2018,8.6
NIC,2018,6.8
PAN,2018,10.2
PRY,2018,8.4
PER,2018,9.5
KNA,2018,8.4
LCA,2018,8.5
VCT,2018,8.6
SUR,2018,9.1
TTO,2018,11.0
USA,2018,13.4
URY,2018,8.7
VEN,2018,10.3
ATG,2019,9.3
ARG,2019,10.6
BHS,2019,11.4
BRB,2019,10.6
BLZ,2019,9.8
BOL,2019,9.0
BRA,2019,7.8
CAN,2019,13.3
CHL,2019,10.4
COL,2019,8.3
CRI,2019,8.7
CUB,2019,11.8
DMA,2019,8.1
DOM,2019,7.9
ECU,2019,8.8
SLV,2019,6.9
GRD,2019,8.8
GTM,2019,6.5
GUY,2019,8.5
HTI,2019,5.6
HND,2019,6.6
JAM,2019,9.8
MEX,2019,8.6
NIC,2019,6.8
PAN,2019,10.2
PRY,2019,8.4
PER,2019,9.7
KNA,2019,8.5
LCA,2019,8.5
VCT,2019,8.7
SUR,2019,9.1
TTO,2019,11.0
USA,2019,13.4
URY,2019,8.8
VEN,2019,10.3
ATG,2020,9.3
ARG,2020,10.9
BHS,2020,11.4
BRB,2020,10.6
BLZ,2020,9.9
BOL,2020,9.0
BRA,2020,8.0
CAN,2020,13.4
CHL,2020,10.6
COL,2020,8.5
CRI,2020,8.7
CUB,2020,11.8
DMA,2020,8.1
DOM,2020,8.1
ECU,2020,8.9
SLV,2020,6.9
GRD,2020,9.0
GTM,2020,6.6
GUY,2020,8.5
HTI,2020,5.6
HND,2020,6.6
JAM,2020,9.7
MEX,2020,8.8
NIC,2020,6.9
PAN,2020,10.2
PRY,2020,8.5
PER,2020,9.7
KNA,2020,8.7
LCA,2020,8.5
VCT,2020,8.8
SUR,2020,9.3
TTO,2020,11.0
USA,2020,13.4
URY,2020,8.9
VEN,2020,10.3
