Year,Country,Alcohol_pc
2007,CAN,8.062266666666666
2008,CAN,8.166666666666666
2009,CAN,8.299999999999999
2010,CAN,8.366666666666667
2011,CAN,8.4
2012,CAN,8.333333333333334
2013,CAN,8.299999999999999
2014,CAN,8.233333333333334
2015,CAN,8.2
2016,CAN,8.1
2017,CAN,8.1
2018,CAN,8.1
2019,CAN,8.133333333333333
2020,CAN,8.066666666666666
2000,CHL,7.1433333333333335
2001,CHL,7.03275
2002,CHL,6.648383333333332
2003,CHL,6.132006666666666
2004,CHL,6.177036666666666
2005,CHL,6.251843333333333
2006,CHL,6.754886666666667
2007,CHL,7.073773333333333
2008,CHL,7.43
2009,CHL,7.343333333333334
2010,CHL,7.456666666666666
2011,CHL,7.509999999999999
2012,CHL,7.413333333333333
2013,CHL,7.640000000000001
2014,CHL,7.533333333333334
2015,CHL,7.833333333333333
2016,CHL,7.680000000000001
2017,CHL,7.846666666666668
2018,CHL,7.796666666666667
2019,CHL,7.766666666666667
2020,CHL,7.79
2000,COL,6.43
2001,COL,5.785266666666666
2002,COL,5.03892
2003,COL,4.382076666666666
2004,COL,4.256313333333334
2005,COL,4.1958866666666665
2006,COL,4.178086666666666
2007,COL,4.274223333333333
2008,COL,4.411823333333333
2009,COL,4.438786666666666
2010,COL,4.374996666666667
2011,COL,4.267503333333333
2012,COL,4.25185
2013,COL,4.296666666666666
2014,COL,4.33
2015,COL,4.303333333333334
2016,COL,4.233333333333333
2017,COL,4.28
2018,COL,4.273333333333333
2019,COL,4.29
2020,COL,4.166666666666667
2000,CRI,5.543333333333334
2001,CRI,5.0824533333333335
2002,CRI,4.6360866666666665
2003,CRI,4.21727
2004,CRI,4.15353
2005,CRI,4.095313333333333
2006,CRI,4.078613333333333
2007,CRI,4.1263966666666665
2008,CRI,4.184716666666667
2009,CRI,4.24485
2010,CRI,4.228463333333333
2011,CRI,4.05806
2012,CRI,3.6967766666666666
2013,CRI,3.3733333333333335
2014,CRI,3.1333333333333333
2015,CRI,3.1033333333333335
2016,CRI,3.11
2017,CRI,3.223333333333333
2018,CRI,3.2533333333333334
2019,CRI,3.283333333333333
2020,CRI,3.186666666666667
2000,CUB,3.686666666666666
2001,CUB,3.86562
2002,CUB,3.9775466666666666
2003,CUB,4.025376666666666
2004,CUB,4.1802166666666665
2005,CUB,4.286536666666667
2006,CUB,4.410866666666666
2007,CUB,4.335450000000001
2008,CUB,4.25438
2009,CUB,4.180230000000001
2010,CUB,4.115943333333333
2011,CUB,4.1687666666666665
2012,CUB,4.190756666666666
2013,CUB,4.31
2014,CUB,4.333333333333333
2015,CUB,4.406666666666666
2016,CUB,4.513333333333334
2017,CUB,4.590000000000001
2018,CUB,4.640000000000001
2019,CUB,4.676666666666667
2020,CUB,4.716666666666667
2000,DMA,7.803333333333334
2001,DMA,7.909299999999999
2002,DMA,8.25238
2003,DMA,8.654886666666664
2004,DMA,8.415306666666666
2005,DMA,8.54273
2006,DMA,8.615166666666665
2007,DMA,8.96084
2008,DMA,8.94907
2009,DMA,9.14076
2010,DMA,8.998586666666668
2011,DMA,9.299853333333333
2012,DMA,9.356553333333332
2013,DMA,9.683333333333332
2014,DMA,9.649999999999999
2015,DMA,8.776666666666666
2016,DMA,7.96
2017,DMA,7.0633333333333335
2018,DMA,6.97
2019,DMA,6.69
2020,DMA,6.463333333333334
2000,DOM,6.033333333333334
2001,DOM,6.338633333333333
2002,DOM,6.453736666666667
2003,DOM,6.574676666666666
2004,DOM,6.511843333333334
2005,DOM,6.16338
2006,DOM,5.861750000000001
2007,DOM,5.631093333333333
2008,DOM,5.833456666666667
2009,DOM,5.887156666666667
2010,DOM,5.8200166666666675
2011,DOM,5.694346666666667
2012,DOM,5.548003333333334
2013,DOM,5.5
2014,DOM,5.456666666666667
2015,DOM,5.376666666666668
2016,DOM,5.343333333333334
2017,DOM,5.359999999999999
2018,DOM,5.453333333333333
2019,DOM,5.516666666666666
2020,DOM,5.55
2000,ECU,1.6333333333333335
2001,ECU,2.4637733333333336
2002,ECU,3.2589266666666674
2003,ECU,4.058703333333334
2004,ECU,4.068226666666667
2005,ECU,4.035476666666667
2006,ECU,4.0081066666666665
2007,ECU,3.9555133333333337
2008,ECU,3.9223533333333336
2009,ECU,3.9957533333333335
2010,ECU,4.10175
2011,ECU,4.09584
2012,ECU,4.053366666666667
2013,ECU,3.9600000000000004
2014,ECU,3.896666666666667
2015,ECU,3.8366666666666664
2016,ECU,3.7600000000000002
2017,ECU,3.546666666666667
2018,ECU,3.24
2019,ECU,3.02
2020,ECU,2.99
2000,GRD,9.856666666666667
2001,GRD,9.798303333333331
2002,GRD,9.687136666666666
2003,GRD,9.99103
2004,GRD,10.216186666666667
2005,GRD,9.855253333333332
2006,GRD,9.141666666666666
2007,GRD,8.932886666666667
2008,GRD,9.08648
2009,GRD,9.14895
2010,GRD,8.909953333333332
2011,GRD,8.431793333333333
2012,GRD,7.979016666666666
2013,GRD,7.719999999999999
2014,GRD,7.753333333333333
2015,GRD,7.819999999999999
2016,GRD,7.963333333333332
2017,GRD,8.126666666666667
2018,GRD,8.286666666666667
2019,GRD,8.446666666666667
2020,GRD,8.553333333333333
2000,GTM,1.64
2001,GTM,1.8311133333333334
2002,GTM,2.0857733333333335
2003,GTM,2.4139433333333336
2004,GTM,2.3529666666666667
2005,GTM,2.3429266666666666
2006,GTM,2.355583333333333
2007,GTM,2.3604866666666666
2008,GTM,2.3535866666666667
2009,GTM,2.27426
2010,GTM,2.165126666666667
2011,GTM,2.054073333333333
2012,GTM,2.0359066666666665
2013,GTM,1.9966666666666668
2014,GTM,1.93
2015,GTM,1.8099999999999998
2016,GTM,1.7233333333333334
2017,GTM,1.6466666666666665
2018,GTM,1.62
2019,GTM,1.6133333333333333
2020,GTM,1.6233333333333333
2000,GUY,7.176666666666667
2001,GUY,7.270356666666667
2002,GUY,7.118496666666666
2003,GUY,7.550593333333333
2004,GUY,8.1933
2005,GUY,8.620370000000001
2006,GUY,7.745126666666667
2007,GUY,6.721633333333333
2008,GUY,5.750229999999999
2009,GUY,5.745286666666666
2010,GUY,5.809816666666667
2011,GUY,5.752676666666667
2012,GUY,5.690766666666666
2013,GUY,5.64
2014,GUY,5.6933333333333325
2015,GUY,5.760000000000001
2016,GUY,5.68
2017,GUY,5.553333333333334
2018,GUY,5.333333333333333
2019,GUY,5.216666666666666
2020,GUY,5.14
2000,HND,2.6233333333333335
2001,HND,2.54769
2002,HND,2.5617566666666662
2003,HND,2.6692966666666664
2004,HND,2.8017333333333334
2005,HND,2.8757333333333333
2006,HND,2.9069033333333336
2007,HND,2.9587766666666666
2008,HND,2.9931066666666672
2009,HND,2.93615
2010,HND,2.8486200000000004
2011,HND,2.766223333333333
2012,HND,2.7211366666666668
2013,HND,2.703333333333333
2014,HND,2.706666666666667
2015,HND,2.61
2016,HND,2.536666666666667
2017,HND,2.48
2018,HND,2.563333333333333
2019,HND,2.6799999999999997
2020,HND,2.7466666666666666
2000,HTI,5.866666666666667
2001,HTI,5.075333333333334
2002,HTI,4.326346666666667
2003,HTI,3.6330166666666663
2004,HTI,3.6102633333333336
2005,HTI,3.59464
2006,HTI,3.542806666666667
2007,HTI,3.52626
2008,HTI,3.4820200000000003
2009,HTI,3.480093333333334
2010,HTI,3.48592
2011,HTI,3.098103333333333
2012,HTI,2.72186
2013,HTI,2.356666666666667
2014,HTI,2.546666666666667
2015,HTI,2.6566666666666667
2016,HTI,2.7733333333333334
2017,HTI,2.8066666666666666
2018,HTI,2.953333333333333
2019,HTI,3.066666666666667
2020,HTI,3.033333333333333
2000,JAM,2.7733333333333334
2001,JAM,3.0769633333333335
2002,JAM,3.4034133333333334
2003,JAM,3.69884
2004,JAM,3.5864433333333334
2005,JAM,3.45384
2006,JAM,3.3725366666666665
2007,JAM,3.345876666666667
2008,JAM,3.341833333333333
2009,JAM,3.3363033333333334
2010,JAM,3.29819
2011,JAM,3.175053333333333
2012,JAM,3.05646
2013,JAM,2.983333333333333
2014,JAM,3.0566666666666666
2015,JAM,3.126666666666667
2016,JAM,3.2100000000000004
2017,JAM,3.253333333333334
2018,JAM,3.3366666666666664
2019,JAM,3.4233333333333333
2020,JAM,3.48
2000,KNA,6.136666666666667
2001,KNA,7.205756666666666
2002,KNA,8.215353333333333
2003,KNA,9.015106666666666
2004,KNA,9.16693
2005,KNA,9.365336666666666
2006,KNA,10.083393333333332
2007,KNA,10.928599999999998
2008,KNA,11.295589999999999
2009,KNA,11.105396666666666
2010,KNA,10.476086666666665
2011,KNA,9.654426666666666
2012,KNA,8.980143333333332
2013,KNA,8.483333333333333
2014,KNA,8.443333333333333
2015,KNA,8.436666666666666
2016,KNA,8.416666666666666
2017,KNA,8.473333333333333
2018,KNA,8.546666666666667
2019,KNA,8.663333333333334
2020,KNA,8.756666666666666
2000,LCA,11.083333333333334
2001,LCA,11.854206666666665
2002,LCA,12.54389
2003,LCA,12.956560000000001
2004,LCA,13.282416666666668
2005,LCA,13.168523333333333
2006,LCA,13.07745
2007,LCA,12.82403
2008,LCA,12.82687
2009,LCA,12.55034
2010,LCA,11.89748
2011,LCA,11.145516666666666
2012,LCA,10.443783333333332
2013,LCA,9.963333333333333
2014,LCA,9.496666666666668
2015,LCA,9.243333333333332
2016,LCA,9.113333333333335
2017,LCA,9.280000000000001
2018,LCA,9.443333333333333
2019,LCA,9.466666666666667
2020,LCA,9.423333333333334
2000,MEX,4.829999999999999
2001,MEX,4.962536666666666
2002,MEX,5.010253333333334
2003,MEX,5.03385
2004,MEX,4.984870000000001
2005,MEX,4.9778
