,PAIS,NOMBRE PAIS,ANIO,LONG,LAT,NIVEL INGRESOS,ESPERANZA,ACCESO AGUA,ACCESO ELECTRICIDAD,AGOTAMIENTO RECURSOS,ALFABETIZACION,ANIOS ESCOLARIDAD,CAMAS HOSPITALES,CONSUMO ALCOHOL,DENSIDAD POBLACION,DESEMPLEO,EMISIONES CO2,FUERZA LABORAL,GINI,INGRESO MEDIO PC,INVERSION DESARROLLO,INVERSION EDUCACION,INVERSION SALUD,OBESIDAD,PIB,POBLACION,PRODUCCION ALIMENTOS,RENTA RECURSOS,SERV SANITARIOS,INDUSTRIA,CONSUMO TABACO,CONTAMINACION AIRE
27,ATG,Antigua and Barbuda,2006,-61.8456,17.1175,HIC,75.7647,627.8930495807401,100.0,1.91419459247328,98.9499969482422,9.1,2.4,7.023533333333333,187.988636363636,10.619,5.31947044206993,39703.2,60.97345132743362,13810.0,0.43,2.8887585571834014,4.63347101,13.0,1157662962.96296,82715.0,140.63,0.0,84.76083486,18.4522457441397,9.6,22.21323890737004
28,ATG,Antigua and Barbuda,2007,-61.8456,17.1175,HIC,76.1311,618.833973985172,100.0,1.91419459247328,98.9499969482422,9.2,2.0,7.284566666666667,190.975,9.315,5.47430063840638,41174.21,57.33849557522124,15090.0,0.42,2.7621356759752542,4.44986248,13.333333333333334,1312759259.25926,84029.0,143.07,0.0,85.15275594,17.7409753276249,9.5,22.29214820709658
29,ATG,Antigua and Barbuda,2008,-61.8456,17.1175,HIC,76.4103,610.102519371973,100.0,1.91419459247328,98.9499969482422,9.2,1.7,7.745873333333333,194.077272727273,8.468,5.6210036919592,42697.0,56.400442477876105,15250.0,0.42,2.635512794767107,4.2048173,13.666666666666666,1370070370.37037,85394.0,145.95,0.0,85.54467701,19.1239163168153,9.4,22.37105750682312
30,ATG,Antigua and Barbuda,2009,-61.8456,17.1175,HIC,76.6694,601.371064758774,98.4812774658203,1.91419459247328,98.9499969482422,9.3,2.2,8.06972,197.143181818182,10.202,16.0243476210748,44238.93,57.33849557522123,13600.0,0.41,2.50888991355896,4.19123125,14.033333333333333,1228329629.62963,86743.0,141.34,0.0,85.93659809,19.4609361101647,9.3,22.44996680654966
31,ATG,Antigua and Barbuda,2010,-61.8456,17.1175,HIC,76.8195,592.639610145575,98.5972366333008,1.91419459247328,98.9499969482422,9.3,2.2,8.05026,200.068181818182,11.335,5.56628432962334,44895.3,55.46238938053097,12690.0,0.41,2.49773485319955,5.37907028,14.366666666666667,1148700000.0,88030.0,102.46,0.0,86.32851916,16.2041470390038,9.2,22.5288761062762
32,ATG,Antigua and Barbuda,2011,-61.8456,17.1175,HIC,77.1038,583.908155532376,94.5520172119141,1.91419459247328,98.9499969482422,9.2,1.93,7.734523333333333,202.840909090909,12.456,6.05042040848932,46410.0,55.931415929203546,12370.0,0.41,2.48657979284014,5.44257212,14.733333333333334,1137637037.03704,89250.0,104.97,0.0,86.72044024,14.5307687799923,9.12,23.1478617038523
33,ATG,Antigua and Barbuda,2012,-61.8456,17.1175,HIC,77.3502,575.176700919177,100.0,1.91419459247328,98.9499969482422,9.0,2.765,7.3456133333333336,205.470454545455,12.582,7.74276314974583,48819.780000000006,54.05530973451328,12780.0,0.4,2.47542473248073,5.47921419,15.1,1199948148.14815,90407.0,99.66,0.0,87.11236131,14.2854938176341,9.04,21.4710504378955
34,ATG,Antigua and Barbuda,2013,-61.8456,17.1175,HIC,77.5834,569.1274754851453,100.0,1.91419459247328,98.9499969482422,9.0,3.6,7.54,207.977272727273,14.63,5.13605069181409,50330.50000000001,55.931415929203546,12620.0,0.4,2.4642696721213198,5.50909281,15.5,1181448148.14815,91510.0,101.42,0.0,87.50428238,15.6822606280428,8.96,20.7353850736625
35,ATG,Antigua and Barbuda,2014,-61.8456,17.1175,HIC,77.8577,563.0782500511134,100.0,1.91419459247328,98.9499969482422,9.1,3.55,8.296666666666667,210.368181818182,14.067,5.18571324378432,50909.100000000006,51.94469026548672,12760.0,0.4,2.45311461176191,5.87269974,15.866666666666665,1249733333.33333,92562.0,100.65,0.0,87.50428238,16.1886387614543,8.88,19.7255836182805
36,ATG,Antigua and Barbuda,2015,-61.8456,17.1175,HIC,77.9127,557.0290246170816,100.0,1.91419459247328,98.9499969482422,9.1,3.61,9.103333333333333,212.661363636364,13.526,5.23666530802004,52399.76,53.0,12850.0,0.39,2.4419595514025,5.27965546,16.266666666666666,1336692592.59259,93571.0,100.33,0.0,87.50428238,16.4579794794781,8.8,19.6963877942929
37,ATG,Antigua and Barbuda,2016,-61.8456,17.1175,HIC,78.1516,550.9797991830497,100.0,1.91419459247328,98.9499969482422,9.2,3.01,9.383333333333333,214.818181818182,12.882,5.28988573846805,52931.200000000004,53.58628318584071,13580.0,0.39,2.43080449104309,5.12190151,16.666666666666668,1436585185.18519,94520.0,99.02,0.0,87.50428238,17.9383723748189,8.7,18.4609303216643
38,ATG,Antigua and Barbuda,2017,-61.8456,17.1175,HIC,78.2683,544.930573749018,100.0,1.91419459247328,98.9499969482422,9.2,2.89,9.49,216.875,12.387,5.23971705527901,54392.24999999999,49.48230088495576,14320.0,0.38,2.44847750663757,4.87493944,17.099999999999998,1467977777.77778,95425.0,98.78,0.0,87.50428238,19.2206966499644,8.6,18.6223428464755
39,ATG,Antigua and Barbuda,2018,-61.8456,17.1175,HIC,78.5112,540.080181134584,100.0,1.91419459247328,98.9499969482422,9.3,2.89,9.863333333333333,218.822727272727,12.512,5.29694013900061,55843.56,51.24115044247789,15880.0,0.38,2.64407563209534,4.85093021,17.53333333333333,1605944444.44444,96282.0,93.59,0.0,87.50428238,21.1069983049088,8.5,18.6223428464755
40,ATG,Antigua and Barbuda,2019,-61.8456,17.1175,HIC,78.6912,540.080181134584,100.0,1.91419459247328,98.9499969482422,9.3,2.89,10.603333333333333,220.715909090909,10.01,5.35447645499165,55355.549999999996,49.130530973451336,16420.0,0.38,2.83133506774902,4.44295979,17.966666666666665,1687533333.33333,97115.0,93.48,0.0,87.50428238,21.16303875479,8.5,18.6223428464755
