id_pais,year,agua
TTO,2003,2992.196706975372
TTO,2002,3006.55334674799
TTO,2001,3006.55334674799
TTO,2000,3006.55334674799
BHS,2020,1815.1879367796
BHS,2019,1815.1879367796
BHS,2018,1815.1879367796
BHS,2017,1833.66557607224
BHS,2016,1851.991086033476
BHS,2015,1870.3165959947119
BHS,2014,1888.642105955948
BHS,2013,1906.9676159171838
BHS,2012,1925.29312587842
BHS,2011,1955.1882481796679
BHS,2010,1985.083370480916
BHS,2009,2014.978492782164
BHS,2008,2044.8736150834122
BHS,2007,2074.76873738466
BHS,2006,2114.867207149656
BHS,2005,2154.9656769146522
BHS,2004,2195.064146679648
BHS,2003,2235.162616444644
BHS,2002,2275.26108620964
BHS,2001,2275.26108620964
BHS,2000,2275.26108620964
SUR,2020,171878.879210816
SUR,2019,171878.879210816
SUR,2018,171878.879210816
SUR,2017,173531.685308177
SUR,2016,175407.537154748
SUR,2015,177283.38900131898
SUR,2014,179159.24084789
SUR,2013,181035.092694461
SUR,2012,182910.944541032
SUR,2011,185062.5896368282
SUR,2010,187214.2347326244
SUR,2009,189365.87982842058
SUR,2008,191517.5249242168
SUR,2007,193669.170020013
SUR,2006,195994.7518939768
SUR,2005,198320.3337679406
SUR,2004,200645.9156419044
SUR,2003,202971.49751586822
SUR,2002,205297.079389832
SUR,2001,205297.079389832
SUR,2000,205297.079389832
VCT,2020,907.358678885764
VCT,2019,907.358678885764
VCT,2018,907.358678885764
VCT,2017,910.531203904358
VCT,2016,912.8672557411836
VCT,2015,915.2033075780092
VCT,2014,917.5393594148347
VCT,2013,919.8754112516604
VCT,2012,922.211463088486
VCT,2011,922.0737891445327
VCT,2010,921.9361152005796
VCT,2009,921.7984412566263
VCT,2008,921.6607673126732
VCT,2007,921.52309336872
VCT,2006,922.2409086650948
VCT,2005,922.9587239614696
VCT,2004,923.6765392578444
VCT,2003,924.3943545542191
VCT,2002,925.112169850594
VCT,2001,925.112169850594
VCT,2000,925.112169850594
LCA,2020,1649.3485073396
LCA,2019,1649.3485073396
LCA,2018,1649.3485073396
LCA,2017,1657.87074134453
LCA,2016,1665.9435866336519
LCA,2015,1674.016431922774
LCA,2014,1682.089277211896
LCA,2013,1690.162122501018
LCA,2012,1698.23496779014
LCA,2011,1716.489241202598
LCA,2010,1734.743514615056
LCA,2009,1752.997788027514
LCA,2008,1771.252061439972
LCA,2007,1789.50633485243
LCA,2006,1808.035503537434
LCA,2005,1826.564672222438
LCA,2004,1845.093840907442
LCA,2003,1863.6230095924461
LCA,2002,1882.15217827745
LCA,2001,1882.15217827745
LCA,2000,1882.15217827745
KNA,2020,457.683359395858
KNA,2019,457.683359395858
KNA,2018,457.683359395858
KNA,2017,461.219155968945
KNA,2016,465.2043498548456
KNA,2015,469.1895437407462
KNA,2014,473.1747376266468
KNA,2013,477.1599315125474
KNA,2012,481.145125398448
KNA,2011,485.3996775341072
KNA,2010,489.6542296697664
KNA,2009,493.90878180542563
KNA,2008,498.16333394108483
KNA,2007,502.417886076744
KNA,2006,508.20423447244724
KNA,2005,513.9905828681505
KNA,2004,519.7769312638536
KNA,2003,525.5632796595569
KNA,2002,531.34962805526
KNA,2001,531.34962805526
KNA,2000,531.34962805526
PER,2020,51298.4590299277
PER,2019,51298.4590299277
PER,2018,51298.4590299277
PER,2017,52187.520542277
PER,2016,52872.8800187795
PER,2015,53558.239495282
PER,2014,54243.5989717845
PER,2013,54928.958448287005
PER,2012,55614.3179247895
PER,2011,56075.09958804878
PER,2010,56535.88125130806
PER,2009,56996.662914567336
PER,2008,57457.444577826616
PER,2007,57918.2262410859
PER,2006,58444.85131388018
PER,2005,58971.47638667446
PER,2004,59498.10145946874
PER,2003,60024.72653226302
PER,2002,60551.3516050573
PER,2001,60551.3516050573
PER,2000,60551.3516050573
PRY,2020,16819.8446565151
PRY,2019,16819.8446565151
PRY,2018,16819.8446565151
PRY,2017,17037.8639586268
PRY,2016,17274.29390146076
PRY,2015,17510.72384429472
PRY,2014,17747.15378712868
PRY,2013,17983.58372996264
