id_pais,year,produccion_alimentos
GRD,2010,77.02
GRD,2009,73.72
GRD,2008,72.3
GRD,2007,72.99
GRD,2006,71.2
GRD,2005,59.31
GRD,2004,109.46
GRD,2003,106.39
GRD,2002,119.11
GRD,2001,102.4
GRD,2000,110.96
SLV,2020,104.45
SLV,2019,101.73
SLV,2018,99.31
SLV,2017,102.63
SLV,2016,103.28
SLV,2015,97.0
SLV,2014,99.72
SLV,2013,99.05
SLV,2012,100.77
SLV,2011,90.93
SLV,2010,91.51
SLV,2009,99.87
SLV,2008,100.85
SLV,2007,94.05
SLV,2006,93.35
SLV,2005,87.03
SLV,2004,84.01
SLV,2003,78.93
SLV,2002,81.32
SLV,2001,80.25
SLV,2000,82.51
ECU,2020,96.86
ECU,2019,96.43
ECU,2018,94.43
ECU,2017,93.85
ECU,2016,94.36
ECU,2015,103.51
ECU,2014,102.13
ECU,2013,95.16
ECU,2012,98.24
ECU,2011,102.19
ECU,2010,102.14
ECU,2009,97.5
ECU,2008,93.01
ECU,2007,88.89
ECU,2006,85.13
ECU,2005,82.13
ECU,2004,83.84
ECU,2003,80.8
ECU,2002,76.62
ECU,2001,78.24
ECU,2000,70.97
DOM,2020,117.31
DOM,2019,116.57
DOM,2018,112.99
DOM,2017,105.64
DOM,2016,103.6
DOM,2015,99.73
DOM,2014,96.68
DOM,2013,90.69
DOM,2012,84.29
DOM,2011,84.47
DOM,2010,78.82
DOM,2009,75.88
DOM,2008,69.61
DOM,2007,75.03
DOM,2006,73.33
DOM,2005,65.84
DOM,2004,62.61
DOM,2003,65.39
DOM,2002,65.28
DOM,2001,64.07
DOM,2000,55.02
DMA,2020,99.96
DMA,2019,99.64
DMA,2018,99.4
DMA,2017,100.17
DMA,2016,102.19
DMA,2015,98.84
DMA,2014,98.97
DMA,2013,99.42
DMA,2012,100.28
DMA,2011,97.57
DMA,2010,98.05
DMA,2009,98.65
DMA,2008,95.27
DMA,2007,95.48
DMA,2006,93.09
DMA,2005,90.47
DMA,2004,91.1
DMA,2003,88.7
DMA,2002,96.06
DMA,2001,97.71
DMA,2000,105.58
CUB,2020,73.7
CUB,2019,96.04
CUB,2018,95.16
CUB,2017,103.91
CUB,2016,103.1
CUB,2015,99.51
CUB,2014,97.39
CUB,2013,97.33
CUB,2012,93.89
CUB,2011,90.14
CUB,2010,86.04
CUB,2009,95.79
CUB,2008,93.82
CUB,2007,91.46
CUB,2006,82.9
CUB,2005,96.33
CUB,2004,119.1
CUB,2003,115.16
CUB,2002,114.19
CUB,2001,111.26
CUB,2000,112.67
CRI,2020,98.33
